FID,DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,censuscode,Longitude,Latitude,Population
0,Adilabad,Andhra Pradesh,28,1,532,78.97213402,19.25645837,314704480
1,Agra,Uttar Pradesh,9,15,146,78.07946553,27.03765974,474887109
2,Ahmadabad,Gujarat,24,7,474,72.19595198,22.71002286,803271572
3,Ahmadnagar,Maharashtra,27,26,522,74.67690161,19.2034947,573366982
4,Aizawl,Mizoram,15,3,283,92.88905469,23.81061967,48260133
5,Ajmer,Rajasthan,8,21,119,74.77516654,26.22989665,300984476
6,Akola,Maharashtra,27,5,501,77.05328597,20.74890775,202568084
7,Alappuzha,Kerala,32,11,598,76.44957974,9.423557968,240834225
8,Aligarh,Uttar Pradesh,9,12,143,78.07931063,27.9268665,417590707
9,Alirajpur,Madhya Pradesh,23,48,465,74.36452328,22.31384109,92739055
10,Allahabad,Uttar Pradesh,9,44,175,81.97171751,25.29889611,673247559
11,Almora,Uttarakhand,5,9,64,79.50193791,29.68919826,58926187
12,Alwar,Rajasthan,8,6,104,76.60602174,27.59147342,393807711
13,Ambala,Haryana,6,2,70,76.94219595,30.32853627,122022748
14,Ambedkar Nagar,Uttar Pradesh,9,47,178,82.66854702,26.420062,261266570
15,Amravati,Maharashtra,27,7,503,77.57201571,21.18784026,329048246
16,Amreli,Gujarat,24,13,480,71.21645062,21.38389697,154208590
17,Amritsar,Punjab,3,15,49,74.90066781,31.70461234,252931344
18,Anand,Gujarat,24,15,482,72.77732754,22.44797836,254921310
19,Anantapur,Andhra Pradesh,28,22,553,77.57687753,14.48102821,445378475
20,Anantnag,Jammu & Kashmir,1,14,14,75.35749866,33.81520342,105991237
21,Anjaw,Arunanchal Pradesh,12,16,260,96.82877794,28.06548877,1897506
22,Anugul,Odisha,21,15,384,84.90895938,20.98636558,148078611
23,Anuppur,Madhya Pradesh,23,44,461,81.68399365,23.05674136,94309500
24,Araria,Bihar,10,7,209,87.35434126,26.19949712,346506681
25,Ariyalur,Tamil Nadu,33,15,616,79.24422266,11.16053557,84195448
630,Arwal,Bihar,10,38,240,84.6904036,25.16157984,74143496
26,Ashoknagar,Madhya Pradesh,23,42,459,77.87519779,24.60936686,100021338
27,Auraiya,Uttar Pradesh,9,31,162,79.48275508,26.66068637,141549810
28,Aurangabad,Bihar,10,33,235,84.41219683,24.79287148,246151382
29,Aurangabad,Maharashtra,27,19,515,75.27345024,20.02151518,455731268
30,Azamgarh,Uttar Pradesh,9,60,191,83.06965528,26.04704178,443384369
31,Badgam,Jammu & Kashmir,1,2,2,74.66296878,33.89000648,62083637
32,Bagalkot,Karnataka,29,2,556,75.62537558,16.22054906,209532966
33,Bageshwar,Uttarakhand,5,8,63,79.8596058,29.99111186,28658551
34,Baghpat,Uttar Pradesh,9,8,139,77.31286211,29.05527312,159328406
35,Bahraich,Uttar Pradesh,9,49,180,81.45186723,27.73638455,373244266
36,Baksa,Assam,18,25,324,91.34651374,26.66484729,99879197
37,Balaghat,Madhya Pradesh,23,40,457,80.36061104,21.88076283,220927662
38,Balangir,Odisha,21,24,393,83.1738826,20.59046226,217944093
39,Baleshwar,Odisha,21,8,377,86.91704457,21.48977863,266287026
40,Ballia,Uttar Pradesh,9,62,193,84.10546321,25.87538412,345876019
41,Balrampur,Uttar Pradesh,9,51,182,82.37759322,27.48497164,237145474
42,Banas Kantha,Gujarat,24,2,469,72.03193577,24.2835236,325167673
43,Banda,Uttar Pradesh,9,39,170,80.56179862,25.46500489,167532532
44,Bandipore,Jammu & Kashmir,1,9,9,74.82831785,34.50403589,42193634
46,Bangalore,Karnataka,29,18,572,77.59593611,12.95083497,1149096531
45,Bangalore Rural,Karnataka,29,29,583,77.57501115,13.22566802,105675216
47,Banka,Bihar,10,23,225,86.84085814,24.85369325,240736245
48,Bankura,West Bengal,19,13,339,87.13495727,23.14097969,411616668
49,Banswara,Rajasthan,8,27,125,74.36390237,23.4751744,218948736
50,Bara Banki,Uttar Pradesh,9,45,176,81.32740262,26.93864233,347106983
52,Baramula,Jammu & Kashmir,1,8,8,74.46339172,34.16273987,92801155
53,Baran,Rajasthan,8,30,128,76.75659048,24.99517382,144929441
54,Barddhaman,West Bengal,19,9,335,87.76773241,23.42776969,895832607
55,Bareilly,Uttar Pradesh,9,19,150,79.42228221,28.44942857,496369637
51,Bargarh,Odisha,21,1,370,83.35344071,21.22022454,180354153
56,Barmer,Rajasthan,8,17,115,71.47326819,25.7355838,279442608
57,Barnala,Punjab,3,20,54,75.50480013,30.39719374,64770506
58,Barpeta,Assam,18,4,303,91.01084077,26.34018347,176502561
59,Barwani,Madhya Pradesh,23,24,441,75.02131623,21.78737321,179947052
60,Bastar,Chhattisgarh,22,15,414,81.77025884,19.42196255,171523505
61,Basti,Uttar Pradesh,9,54,185,82.63108708,26.81834521,258790842
62,Bathinda,Punjab,3,12,46,75.04065926,30.18276571,144458859
63,Bauda,Odisha,21,22,391,84.1776449,20.64681482,50611661
64,Begusarai,Bihar,10,20,222,86.13084423,25.49528735,363816076
65,Belgaum,Karnataka,29,1,555,74.82298197,16.11944212,507972714
66,Bellary,Karnataka,29,11,565,76.53335724,15.10956299,272060964
67,Betul,Madhya Pradesh,23,30,447,77.87104002,21.87796281,189453902
68,Bhadrak,Odisha,21,9,378,86.625402,20.98585868,168262555
69,Bhagalpur,Bihar,10,22,224,87.08437372,25.27048483,389390317
70,Bhandara,Maharashtra,27,10,506,79.750896,21.12921091,150130677
71,Bharatpur,Rajasthan,8,7,105,77.27882766,27.24565454,290511623
72,Bharuch,Gujarat,24,21,488,72.92514721,21.78640259,176368700
73,Bhavnagar,Gujarat,24,14,481,71.84105176,21.66656433,303780365
74,Bhilwara,Rajasthan,8,24,122,74.72907161,25.47996755,285619508
75,Bhind,Madhya Pradesh,23,3,420,78.72264701,26.4210803,186274372
76,Bhiwani,Haryana,6,13,81,75.96761736,28.71794275,191661909
