Zip,CurrentCases,PriorCases,NewCases,FoundInFile,State
99999,26,24,2,1,MD
21930,1,1,0,1,MD
21922,3,2,1,1,MD
21921,163,147,16,1,MD
21920,4,4,0,1,MD
21919,12,7,5,1,MD
21918,16,15,1,1,MD
21917,6,5,1,1,MD
21915,6,6,0,1,MD
21914,1,1,0,1,MD
21913,27,25,2,1,MD
21912,21,19,2,1,MD
21911,139,137,2,1,MD
21904,15,12,3,1,MD
21903,9,10,0,1,MD
21902,2,2,0,1,MD
21901,50,47,3,1,MD
21890,5,2,3,1,MD
21875,28,26,2,1,MD
21874,9,8,1,1,MD
21872,1,1,0,1,MD
21871,5,3,2,1,MD
21869,4,3,1,1,MD
21864,1,1,0,1,MD
21863,33,32,1,1,MD
21861,2,2,0,1,MD
21856,4,4,0,1,MD
21853,44,41,3,1,MD
21851,64,63,1,1,MD
21850,12,12,0,1,MD
21849,12,12,0,1,MD
21843,2,2,0,1,MD
21842,37,24,13,1,MD
21841,2,1,1,1,MD
21838,2,2,0,1,MD
21837,8,7,1,1,MD
21830,16,15,1,1,MD
21829,1,1,0,1,MD
21826,44,45,0,1,MD
21822,15,13,2,1,MD
21821,1,1,0,1,MD
21817,10,10,0,1,MD
21814,1,1,0,1,MD
21813,15,15,0,1,MD
21811,148,136,12,1,MD
21804,525,514,11,1,MD
21803,2,2,0,1,MD
21802,8,8,0,1,MD
21801,353,331,22,1,MD
21798,9,8,1,1,MD
21797,27,26,1,1,MD
21795,32,29,3,1,MD
21794,24,21,3,1,MD
21793,81,75,6,1,MD
21791,15,15,0,1,MD
21788,47,40,7,1,MD
21787,36,33,3,1,MD
21784,292,219,73,1,MD
21783,21,20,1,1,MD
21782,13,13,0,1,MD
21780,8,7,1,1,MD
21779,3,3,0,1,MD
21778,11,10,1,1,MD
21777,10,10,0,1,MD
21776,26,26,0,1,MD
21775,1,1,0,1,MD
21774,62,61,1,1,MD
21773,14,10,4,1,MD
21771,248,238,10,1,MD
21770,37,32,5,1,MD
21769,29,25,4,1,MD
21767,3,0,3,1,MD
21762,3,2,1,1,MD
21758,20,18,2,1,MD
21757,36,35,1,1,MD
21756,17,12,5,1,MD
21755,34,33,1,1,MD
21754,30,29,1,1,MD
21750,14,14,0,1,MD
21746,39,1,38,1,MD
21742,122,96,26,1,MD
21741,2,2,0,1,MD
21740,268,243,25,1,MD
21738,18,15,3,1,MD
21737,7,7,0,1,MD
21734,3,3,0,1,MD
21733,2,2,0,1,MD
21727,25,23,2,1,MD
21723,4,3,1,1,MD
21722,16,14,2,1,MD
21721,1,1,0,1,MD
21719,7,7,0,1,MD
21717,2,2,0,1,MD
21716,36,35,1,1,MD
21715,1,1,0,1,MD
21713,102,87,15,1,MD
21711,3,3,0,1,MD
21710,16,16,0,1,MD
21706,1,1,0,1,MD
21705,4,3,1,1,MD
21704,122,116,6,1,MD
21703,681,622,59,1,MD
21702,723,656,67,1,MD
21701,397,372,25,1,MD
21679,1,0,1,1,MD
21678,18,18,0,1,MD
21677,2,2,0,1,MD
21676,2,2,0,1,MD
21673,7,6,1,1,MD
21670,1,1,0,1,MD
21668,20,20,0,1,MD
21667,1,1,0,1,MD
21666,31,30,1,1,MD
21664,1,0,1,1,MD
21663,14,13,1,1,MD
21662,1,1,0,1,MD
21661,13,13,0,1,MD
21660,17,12,5,1,MD
21658,7,7,0,1,MD
21657,1,1,0,1,MD
21655,25,23,2,1,MD
21654,2,2,0,1,MD
21652,1,0,1,1,MD
21651,31,31,0,1,MD
21650,4,3,1,1,MD
21649,115,108,7,1,MD
21647,1,1,0,1,MD
21645,4,4,0,1,MD
21644,1,1,0,1,MD
21643,29,29,0,1,MD
21641,1,1,0,1,MD
21640,29,24,5,1,MD
21639,26,22,4,1,MD
21638,19,14,5,1,MD
21636,12,10,2,1,MD
21635,11,11,0,1,MD
21634,1,1,0,1,MD
21632,74,66,8,1,MD
21631,10,8,2,1,MD
21629,38,31,7,1,MD
21628,3,3,0,1,MD
21625,5,5,0,1,MD
21623,8,5,3,1,MD
21622,1,1,0,1,MD
21620,126,121,5,1,MD
21619,21,17,4,1,MD
21617,75,44,31,1,MD
21613,126,111,15,1,MD
21612,1,1,0,1,MD
21610,2,2,0,1,MD
21609,1,1,0,1,MD
21607,12,12,0,1,MD
21601,95,75,20,1,MD
21562,4,4,0,1,MD
21561,3,2,1,1,MD
21550,6,6,0,1,MD
21545,3,3,0,1,MD
21539,1,1,0,1,MD
21532,27,26,1,1,MD
21531,1,1,0,1,MD
21530,4,4,0,1,MD
21529,1,1,0,1,MD
21521,1,0,1,1,MD
21515,1,1,0,1,MD
21502,164,149,15,1,MD
21411,1,1,0,1,MD
21409,81,73,8,1,MD
21405,4,4,0,1,MD
21404,2,2,0,1,MD
21403,639,589,50,1,MD
21402,2,2,0,1,MD
21401,479,446,33,1,MD
21293,1,1,0,1,MD
21287,1,1,0,1,MD
21286,161,129,32,1,MD
21285,1,1,0,1,MD
21284,2,2,0,1,MD
21281,1,1,0,1,MD
21252,1,0,1,1,MD
21244,491,449,42,1,MD
21239,326,305,21,1,MD
21237,399,360,39,1,MD
21236,240,202,38,1,MD
21234,581,512,69,1,MD
21233,1,1,0,1,MD
21231,191,173,18,1,MD
21230,293,254,39,1,MD
21229,620,569,51,1,MD
21228,687,658,29,1,MD
21227,407,364,43,1,MD
21226,40,38,2,1,MD
21225,376,347,29,1,MD
21224,1214,1120,94,1,MD
21223,320,297,23,1,MD
21222,638,558,80,1,MD
21221,400,353,47,1,MD
21220,409,369,40,1,MD
21219,47,40,7,1,MD
21218,408,364,44,1,MD
21217,326,301,25,1,MD
21216,275,254,21,1,MD
21215,821,749,72,1,MD
21214,151,137,14,1,MD
21213,353,305,48,1,MD
21212,168,150,18,1,MD
21211,82,75,7,1,MD
21210,22,21,1,1,MD
21209,166,147,19,1,MD
21208,460,421,39,1,MD
21207,666,629,37,1,MD
21206,574,505,69,1,MD
21205,270,235,35,1,MD
21204,194,179,15,1,MD
21203,4,4,0,1,MD
21202,308,236,72,1,MD
21201,122,101,21,1,MD
21200,1,1,0,1,MD
21163,29,25,4,1,MD
