state_code,state_fips,state_name,county_fips,county_name,county_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,grade_encounters,n_grade_encounters
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-02-24,2,PRE,F,1,-0.052936511,F,1,0.009718442,F,1,240.2174071,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-02-25,3,PRE,F,1,0.002065058,F,1,-0.004917583,F,1,305.1504809,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-02-26,4,PRE,F,1,0.100930767,F,1,-0.005579776,F,1,291.8822944,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-02-27,5,PRE,F,1,0.071589355,F,1,0.057006181,F,1,345.636378,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-02-28,6,PRE,F,1,-0.023477369,F,1,0.043608237,F,1,253.5008041,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-02-29,7,PRE,F,1,0.009061097,F,1,-0.028173006,F,1,127.4285388,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-03-01,1,PRE,F,1,-0.057568436,F,1,-0.088563831,F,1,104.0100789,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-03-02,2,PRE,F,1,-0.032833147,F,1,-0.006320063,F,1,236.3112362,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-03-03,3,PRE,F,1,0.115188139,F,1,-0.006029955,F,1,254.6641778,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-03-04,4,PRE,F,1,0.005174297,F,1,0.00365868,F,1,296.2968961,F,1
