state_code,state_fips,state_name,county_fips,county_name,county_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,encounters_rate_norm,daily_encounter_diff,AverageDiff
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,2/24/2020,2,PRE,F,1,-0.052936511,F,1,0.009718442,F,1,240.2174071,0.977994,-0.022006,-0.021741356
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,2/25/2020,3,PRE,F,1,0.002065058,F,1,-0.004917583,F,1,305.1504809,1.242355178,0.242355178,0.079834218
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,2/26/2020,4,PRE,F,1,0.100930767,F,1,-0.005579776,F,1,291.8822944,1.188336583,0.188336583,0.094562525
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,2/27/2020,5,PRE,F,1,0.071589355,F,1,0.057006181,F,1,345.636378,1.407184883,0.407184883,0.178593473
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,2/28/2020,6,PRE,F,1,-0.023477369,F,1,0.043608237,F,1,253.5008041,1.032074521,0.032074521,0.017401796
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,2/29/2020,7,PRE,F,1,0.009061097,F,1,-0.028173006,F,1,127.4285388,0.51879815,-0.48120185,-0.166771253
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,3/1/2020,1,PRE,F,1,-0.057568436,F,1,-0.088563831,F,1,104.0100789,0.423454879,-0.576545121,-0.240892463
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,3/2/2020,2,PRE,F,1,-0.032833147,F,1,-0.006320063,F,1,236.3112362,0.962090857,-0.037909143,-0.025687451
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,3/3/2020,3,PRE,F,1,0.115188139,F,1,-0.006029955,F,1,254.6641778,1.03681095,0.03681095,0.048656378
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,3/4/2020,4,PRE,F,1,0.005174297,F,1,0.00365868,F,1,296.2968961,1.206309693,0.206309693,0.071714223
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,3/5/2020,5,PRE,F,1,0.03584924,F,1,-0.040885302,F,1,246.7500603,1.004590306,0.004590306,-0.000148585
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,3/6/2020,6,PRE,F,1,0.024056737,F,1,-0.006954409,F,1,225.6366505,0.918631556,-0.081368444,-0.021422039
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,3/7/2020,7,PRE,F,1,0.020026639,F,1,0.100057583,F,1,155.1025621,0.63146704,-0.36853296,-0.082816246
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,3/8/2020,1,PRE,F,1,0.008287711,F,1,0.085867421,F,1,139.5778645,0.568261541,-0.431738459,-0.112527776
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,3/9/2020,2,POST,F,1,-0.09257753,F,1,0.045870431,F,1,229.3207046,0.933630397,-0.066369603,-0.037692234
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,3/10/2020,3,POST,F,1,0.038840803,F,1,-0.036133091,F,1,253.369055,1.031538133,0.031538133,0.011415282
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,3/11/2020,4,POST,F,1,0.227810374,F,1,-0.136412708,F,1,250.0715247,1.018112941,0.018112941,0.036503535
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,3/12/2020,5,POST,F,1,0.022506208,F,1,-0.156498026,F,1,144.1324916,0.586804735,-0.413195265,-0.182395694
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,3/13/2020,6,POST,F,1,-0.116732157,F,1,-0.243523903,F,1,92.74004986,0.377571357,-0.622428643,-0.327561568
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,3/14/2020,7,POST,F,1,-0.13395598,F,1,-0.409883996,F,1,35.15249219,0.143115884,-0.856884116,-0.466908031
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,3/15/2020,1,POST,F,1.3,-0.332007035,D,2,-0.484671406,F,1,23.48028171,0.095594965,-0.904405035,-0.573694492
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,3/16/2020,2,POST,F,1.3,-0.292521693,D,2,-0.468145961,F,1,47.40404087,0.192995454,-0.807004546,-0.5225574
