key,startdate,AG04AsymptomaticRate,AG04HospRate,AG04MortalityRate,AG517AsymptomaticRate,AG517HospRate,AG517MortalityRate,AG1849AsymptomaticRate,AG1849HospRate,AG1849MortalityRate,AG5064AsymptomaticRate,AG5064HospRate,AG5064MortalityRate,AG65AsymptomaticRate,AG65HospRate,AG65MortalityRate,IncubationTime,mildContagiousTime,symptomaticTime,hospitalSymptomaticTime,ICURate,ICUtime,PostICUTime,preHospTime,EDVisit,preContagiousTime,postContagiousTime,NumInfStart,householdcontactRate,ProbabilityOfTransmissionPerContact,symptomaticContactRateReduction,hospitalSymptomaticContactRateReduction,ImportationRate,InterventionRate,InterventionRateLow,InterventionMobilityEffect,AsymptomaticReducationTrans,InterventionPerIncrease,locked,
0,2020-02-04,0.99,0.01,0.0002,0.99,0.01,0.0002,0.8927620010701672,0.11966683165276201,0.0718418826305782,0.7154031986029379,0.25827537277361345,0.19222605860288666,0.7993789700216801,0.5483417440436806,0.4238755139164523,2.5107338837608064,4.388173313612402,8.331126455435777,5.413308359055694,0.40348326743815593,15.65716462155206,3.76462997392779,6.875810544129589,0.37350515802787077,1.8183441948136363,1.847809007322716,43,36.0,0.04193937862779357,0.6592911976419207,0.6900612882902468,3,0.17104030298519796,0.5594701056065812,0.7500000000000009,0.6199346197265688,0.42,0,
1,2020-02-05,0.99,0.01,0.0002,0.99,0.01,0.0002,0.8662357666483741,0.10482735288708693,0.06790042512062652,0.7111072088804711,0.24850044051429487,0.17323348294269658,0.8470250022062873,0.5128724032751062,0.4833819371265883,2.746029249677874,4.028513657760371,8.776666671303873,6.872147941707991,0.41407998497825893,16.24688308581482,3.2879074959927572,5.261729326178083,0.37970141721531236,2.0992486643052253,1.5917389586416388,71,36.0,0.0395358162021086,0.7441843367048164,0.726372972534072,6,0.1377243628677456,0.5672438261471198,0.7500000000000009,0.704160560950393,0.23,0,
2,2020-02-05,0.99,0.01,0.0002,0.99,0.01,0.0002,0.8662357666483741,0.10482735288708693,0.06790042512062652,0.7111072088804711,0.24850044051429487,0.17323348294269658,0.8470250022062873,0.5128724032751062,0.4833819371265883,2.746029249677874,4.028513657760371,8.776666671303873,6.872147941707991,0.41407998497825893,16.24688308581482,3.2879074959927572,5.261729326178083,0.37970141721531236,2.0992486643052253,1.5917389586416388,80,36.0,0.0395358162021086,0.7441843367048164,0.726372972534072,6,0.23780763600536706,0.504615343189275,0.7500000000000009,0.704160560950393,0.37,0,
3,2020-02-08,0.99,0.01,0.0002,0.99,0.01,0.0002,0.8560029516164985,0.10087752365133178,0.0861453126550672,0.7480587951192754,0.2659186302983086,0.2045825616507581,0.8816062817835011,0.5725860014108286,0.4873968575059551,2.932428318931004,4.55138031444174,8.576054804255895,5.652613523162898,0.431438001335982,16.527211981270728,4.072606859453806,6.751792643918616,0.34444482451708136,2.0550862420535863,1.546828444805302,45,36.0,0.04103070043476206,0.6479634543232757,0.5472367014139896,10,0.2161349292190416,0.520162360665587,0.7500000000000009,0.7521977681646694,0.19,0,
4,2020-02-06,0.99,0.01,0.0002,0.99,0.01,0.0002,0.8928788042292275,0.08116197154422322,0.052102458042241,0.8547618140902365,0.24050665686052378,0.20679897645670037,0.8822907812485965,0.520387054345684,0.47704198912268414,2.238016042869944,5.459697416547965,8.746199641962392,5.896697683243695,0.4125237733704789,16.063187142504628,4.84487430982607,5.5480160353599555,0.3910837646235439,1.8025308237723843,1.6111574884956221,67,36.0,0.0399310653186845,0.8083715764129502,0.6486297141319401,5,0.2300688960816732,0.48331270265147297,0.7500000000000009,0.6399202393569882,0.29,0,
5,2020-02-13,0.99,0.01,0.0002,0.99,0.01,0.0002,0.9462678506299596,0.08967201749610189,0.052574715424980066,0.7205727828980517,0.2348433249931732,0.15881901920509306,0.7439524373982094,0.5290312540423944,0.4617005378408385,2.2502108526796203,5.234654564239246,8.32618919735246,6.963869175267122,0.44021183045096346,17.392240766170396,3.085562000459597,6.098891674526522,0.20393137065087738,2.5660334993502003,1.7571570933405338,5,36.0,0.039866774519098244,0.7755001978513529,0.6016836471686426,8,0.16311741748489372,0.5168254203089977,0.7500000000000009,0.6644647599325116,0.15,0,
6,2020-02-01,0.99,0.01,0.0002,0.99,0.01,0.0002,0.9107735526667224,0.09872589013947462,0.07452794790384794,0.8498538948376575,0.23990335802541396,0.17474324886917428,0.7958322320929739,0.5707018328891205,0.43615330065199215,2.5865128030199322,4.824384540558239,8.517581182965175,5.558782073656988,0.44255974612487375,15.416394702139943,4.879393676612764,5.455695192004042,0.2586853403058564,2.36936065867883,1.4542514462598923,5,36.0,0.03709138771947327,0.6708529999840567,0.825661900775376,5,0.21910652704407765,0.4780586023422903,0.7500000000000009,0.6564512040573387,0.28,0,
7,2020-02-06,0.99,0.01,0.0002,0.99,0.01,0.0002,0.8928788042292275,0.08116197154422322,0.052102458042241,0.8547618140902365,0.24050665686052378,0.20679897645670037,0.8822907812485965,0.520387054345684,0.47704198912268414,2.238016042869944,5.459697416547965,8.746199641962392,5.896697683243695,0.4125237733704789,16.063187142504628,4.84487430982607,5.5480160353599555,0.3910837646235439,1.8025308237723843,1.6111574884956221,59,36.0,0.0399310653186845,0.8083715764129502,0.6486297141319401,5,0.12673590305401214,0.5381354048844678,0.7500000000000009,0.6399202393569882,0.33,0,
8,2020-02-04,0.99,0.01,0.0002,0.99,0.01,0.0002,0.8927620010701672,0.11966683165276201,0.0718418826305782,0.7154031986029379,0.25827537277361345,0.19222605860288666,0.7993789700216801,0.5483417440436806,0.4238755139164523,2.5107338837608064,4.388173313612402,8.331126455435777,5.413308359055694,0.40348326743815593,15.65716462155206,3.76462997392779,6.875810544129589,0.37350515802787077,1.8183441948136363,1.847809007322716,62,36.0,0.04193937862779357,0.6592911976419207,0.6900612882902468,3,0.18423623598193428,0.5308028850765993,0.7500000000000009,0.6199346197265688,0.47,0,
9,2020-02-05,0.99,0.01,0.0002,0.99,0.01,0.0002,0.8644876427393496,0.1132066203422282,0.06618117197643836,0.7437268620677885,0.25703233345442267,0.22331138297507652,0.7372394993873364,0.5192236674663351,0.47666046131837647,2.422122184880819,4.459896876823999,8.070971302050827,5.691811712959651,0.44811443674722884,15.170307385573896,3.3887186781489445,7.637944736305528,0.3560432900074445,1.0701603502050174,1.645018506202942,68,36.0,0.0402975180275447,0.895712109132581,0.7078277073449524,4,0.18964769501081707,0.4832384560391826,0.7500000000000009,0.6089259002616096,0.31,0,
