Num,startdate,AG04AsymptomaticRate,AG04HospRate,AG04MortalityRate,AG517AsymptomaticRate,AG517HospRate,AG517MortalityRate,AG1849AsymptomaticRate,AG1849HospRate,AG1849MortalityRate,AG5064AsymptomaticRate,AG5064HospRate,AG5064MortalityRate,AG65AsymptomaticRate,AG65HospRate,AG65MortalityRate,IncubationTime,mildContagiousTime,symptomaticTime,hospitalSymptomaticTime,ICURate,ICUtime,PostICUTime,preHospTime,EDVisit,preContagiousTime,postContagiousTime,NumInfStart,householdcontactRate,ProbabilityOfTransmissionPerContact,symptomaticContactRateReduction,hospitalSymptomaticContactRateReduction,ImportationRate,InterventionRate,InterventionRateLow,InterventionMobilityEffect,AsymptomaticReducationTrans,InterventionPerIncrease,locked,InterventionEndPerIncrease,TestIncrease
71,2/28/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.901721938,0.031157115,0.020532834,0.756717073,0.250499879,0.103960826,0.764157795,0.240758902,0.367155388,2.585155964,4.705232349,8.462248644,3.492806916,0.203876791,9.839946486,4.523736358,7.130595705,0.290181006,1.721547578,1.365564352,78,36,0.041585837,0.852186659,0.648860663,4,0.26,0.57,0.79,0.671802182,0.13,0,0.186114967,0.209806024
62,2/8/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.941780153,0.039713868,0.026782826,0.749059828,0.26572113,0.131242117,0.841048436,0.265087991,0.333590132,2.062676672,5.925847535,9.647654374,3.345800865,0.236002198,8.558446809,3.67434138,6.903499113,0.205020934,1.684263507,1.711254729,19,36,0.037507797,0.819129952,0.675058829,3,0.32,0.59,0.79,0.503901922,0.34,0,0.242518667,0.241331635
71,2/25/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.868344236,0.036969238,0.03673524,0.782809844,0.265758992,0.107614438,0.768395195,0.232401483,0.309364006,2.869818868,5.385149101,9.376261371,5.139508053,0.210334074,9.063206101,4.249995917,6.478984697,0.355268213,1.946134741,1.773340288,78,36,0.037150477,0.627465086,0.736903616,8,0.36,0.6,0.88,0.774950826,0.14,0,0.522108085,0.303378115
93,2/19/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.889827693,0.042045475,0.024720603,0.747402545,0.260925566,0.125992109,0.834081868,0.244352281,0.355902219,2.831552849,5.23558358,9.288966939,4.061600339,0.188806557,8.797574479,4.993046609,5.283397156,0.336365128,1.002435106,1.349282296,9,36,0.038778597,0.820589715,0.589910255,8,0.33,0.63,0.71,0.610088299,0.19,0,0.542885656,0.559114729
73,2/20/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.861391282,0.046434558,0.027508086,0.733126397,0.252699081,0.14287862,0.766254388,0.266362992,0.316046993,3.213305039,5.870277364,9.212341234,4.349412627,0.158512796,9.753306627,4.726817816,5.210148099,0.26720146,1.283260911,1.411720721,85,36,0.039948317,0.661182093,0.672773218,3,0.17,0.58,0.7,0.741659139,0.24,0,0.929311465,0.173847433
121,2/23/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.882209251,0.04563459,0.021512515,0.835706924,0.232940309,0.117656491,0.7065672,0.233802404,0.300111336,3.062287279,5.755106931,8.562311709,4.338603779,0.182512208,8.897477166,4.444319885,6.831472766,0.279086449,1.03316492,1.452896308,86,36,0.039474669,0.807801324,0.799219393,8,0.3,0.56,0.71,0.63968678,0.37,0,0.707272238,0.44855108
24,2/25/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.925938421,0.039827498,0.024109422,0.726595954,0.256853456,0.139598401,0.776625862,0.261422931,0.300013738,3.075107911,5.704788088,8.669148347,3.444776056,0.246778144,9.986824456,3.735222887,5.379596173,0.315991617,1.783759725,1.624684973,18,36,0.038388372,0.763100815,0.68087168,7,0.12,0.55,0.8,0.799747971,0.31,0,0.720809322,0.645772831
66,2/22/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.89104917,0.043935731,0.02138195,0.772728194,0.258317779,0.131596411,0.754796573,0.244841613,0.318131915,3.845125758,4.692181968,8.567523317,4.09835682,0.193780684,9.785454874,4.82955645,6.062325383,0.229786173,1.115301263,1.784654654,54,36,0.03783038,0.745716718,0.546953072,3,0.39,0.45,0.9,0.794892083,0.35,0,0.107593348,0.780033501
109,2/22/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.854156375,0.043630257,0.026711082,0.83976255,0.248323756,0.137380435,0.737577477,0.267623409,0.323248355,2.804356629,4.575880023,9.272817403,3.737531744,0.169894844,8.255838961,4.77251783,7.771092911,0.233915165,1.694324909,1.464743114,30,36,0.041013592,0.837654807,0.662874428,6,0.3,0.57,0.82,0.785026183,0.5,0,0.175177985,0.664728964
58,2/10/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.872896584,0.033547081,0.039435505,0.766658705,0.253815132,0.138466948,0.828899378,0.261613546,0.31377678,2.758326184,4.6232305,8.491944307,5.254787415,0.227351754,9.650840775,3.747546791,7.161390162,0.252100083,1.018161713,1.560421317,41,36,0.038440062,0.736591323,0.785799561,2,0.18,0.56,0.85,0.588930353,0.32,0,0.584006973,0.397477275
