key,startdate,AG04AsymptomaticRate,AG04HospRate,AG04MortalityRate,AG517AsymptomaticRate,AG517HospRate,AG517MortalityRate,AG1849AsymptomaticRate,AG1849HospRate,AG1849MortalityRate,AG5064AsymptomaticRate,AG5064HospRate,AG5064MortalityRate,AG65AsymptomaticRate,AG65HospRate,AG65MortalityRate,IncubationTime,mildContagiousTime,symptomaticTime,hospitalSymptomaticTime,ICURate,ICUtime,PostICUTime,preHospTime,EDVisit,preContagiousTime,postContagiousTime,NumInfStart,householdcontactRate,ProbabilityOfTransmissionPerContact,symptomaticContactRateReduction,hospitalSymptomaticContactRateReduction,ImportationRate,InterventionRate,InterventionRateLow,InterventionMobilityEffect,AsymptomaticReducationTrans,InterventionPerIncrease,locked,InterventionEndPerIncrease
28,2/1/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.881640375,0.096034621,0.081744352,0.711124711,0.265779968,0.230467919,0.840761277,0.580483262,0.471636677,3.129189742,4.945149668,8.370250003,5.762625809,0.404374681,16.36677004,3.154140983,7.158163608,0.316049849,1.9947295,1.213879574,56,36,0.03898787,0.632259745,0.63802104,8,0.13728797,0.485735503,0.75,0.639097815,0.47,0,0.6
198,2/1/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.895562568,0.095254636,0.097598156,0.713657214,0.250696073,0.180335115,0.888796744,0.551623873,0.477696466,2.55027929,4.276823266,8.497633177,5.003680792,0.438461323,14.19110541,4.214831426,5.058572302,0.368757277,1.44613181,1.617442005,42,36,0.039472775,0.698458705,0.773587243,6,0.171503007,0.532277884,0.75,0.660889247,0.11,0,0.4
759,2/1/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.869867353,0.118341194,0.096414938,0.736010363,0.252610412,0.203198869,0.765233477,0.568196314,0.429650007,3.485232704,4.014362876,9.444631186,5.484096,0.41677335,14.52007856,4.299956262,7.219209651,0.227649219,2.250060007,1.845255442,55,36,0.04081056,0.732699316,0.856188744,8,0.157707585,0.528838995,0.75,0.706752335,0.39,0,0.9
96,2/1/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.898170342,0.083693682,0.090733201,0.737750501,0.25685139,0.223193538,0.805299762,0.527326891,0.477408682,2.290636194,4.37284153,8.141529097,6.297137058,0.43057419,17.14403487,3.734180443,5.43891674,0.398140172,2.315047292,1.876911759,1,36,0.040627447,0.81465864,0.596890413,8,0.225391094,0.567359153,0.75,0.549347914,0.31,0,0.6
86,2/1/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.872650033,0.109084307,0.075748673,0.743013646,0.251126114,0.182364286,0.855331707,0.59128289,0.480613146,2.600705439,5.608037231,8.017627091,6.420423917,0.43080982,16.77138886,3.985125842,5.203113824,0.213994388,1.443654085,1.981480434,90,36,0.040276364,0.646220308,0.772731022,5,0.206826731,0.453931926,0.75,0.616239643,0.16,0,0.5
308,2/1/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.932111326,0.10850855,0.099600233,0.762023404,0.247059914,0.18609106,0.748019507,0.560829146,0.422300516,2.147121625,4.478594691,8.460621849,6.325348953,0.431721044,15.96720621,4.197223414,5.923003473,0.35225945,1.222601476,1.376591343,54,36,0.038903087,0.666598975,0.816129716,9,0.205861247,0.453281271,0.75,0.548148765,0.27,0,0.8
285,2/1/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.90043794,0.086215789,0.062105286,0.832076224,0.250797375,0.159233723,0.885477761,0.508274135,0.422023717,3.963604797,5.406389026,9.143517742,5.610628918,0.428892989,14.76290227,4.950879043,6.48381173,0.240702583,2.039327849,1.90443752,82,36,0.038896077,0.70458273,0.527068744,10,0.245120246,0.509596546,0.75,0.676767869,0.27,0,0.4
118,2/1/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.920683202,0.104315132,0.09884187,0.832847948,0.268598865,0.155301398,0.857995844,0.568002935,0.453805143,3.873792002,4.831958807,8.53714826,5.344116644,0.435631577,14.39092529,4.366194771,5.193808305,0.325617966,1.011325118,1.9369945,89,36,0.039457003,0.780324264,0.681806235,6,0.131707374,0.494603515,0.75,0.794015334,0.18,0,0.3
6,2/1/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.910773553,0.09872589,0.074527948,0.849853895,0.239903358,0.174743249,0.795832232,0.570701833,0.436153301,2.586512803,4.824384541,8.517581183,5.558782074,0.442559746,15.4163947,4.879393677,5.455695192,0.25868534,2.369360659,1.454251446,5,36,0.037091388,0.670853,0.825661901,5,0.219106527,0.478058602,0.75,0.656451204,0.28,0,0.7
43,2/1/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.86112597,0.089698959,0.056601096,0.860145663,0.232088735,0.223672145,0.770044844,0.554084543,0.456468961,3.538344119,4.790475736,9.027822027,6.291452483,0.420615804,15.59283091,3.282599649,5.071293355,0.353801058,1.41772196,1.787831735,72,36,0.041486951,0.788249337,0.608888665,6,0.802222222,0.882222222,0.944444444,0.68383764,0.24,0,0.7
250,2/1/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.931640633,0.112142775,0.085766981,0.874993581,0.245973501,0.207652811,0.875461131,0.581926267,0.41594397,2.110206427,4.973375752,8.432377589,5.9989619,0.443321978,15.6804789,3.616969858,7.086987509,0.240254898,2.753149593,1.745096482,25,36,0.041576542,0.613842895,0.520048576,10,0.103454155,0.475270006,0.75,0.515285741,0.42,0,0.6
622,2/1/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.876153366,0.109057485,0.08947691,0.880829837,0.249219483,0.195256105,0.760620964,0.524663251,0.461877587,2.505446537,5.650984832,8.733281069,6.008010132,0.406991568,16.89745202,4.565592984,5.343304219,0.274801898,2.590292901,1.530832342,86,36,0.038687266,0.680076542,0.647666641,8,0.11239998,0.519509465,0.75,0.603687601,0.23,0,0.8
394,2/1/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.893739621,0.096819627,0.079740333,0.886234083,0.252118857,0.176145785,0.814820912,0.528587214,0.406851011,2.366646211,5.752508108,8.70742197,5.106005678,0.442293352,15.03891284,3.111861176,7.125903207,0.312070922,2.542179141,1.512976926,69,36,0.038782389,0.706693286,0.511797902,4,0.201548816,0.579981024,0.75,0.620264529,0.24,0,0.4
107,2/1/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.94722885,0.093330873,0.066183376,0.888820244,0.233078703,0.179137109,0.866867705,0.577660933,0.423656946,2.41343937,4.167806022,8.484959974,6.013614523,0.416026978,16.19440913,3.10483532,6.349431776,0.283244603,1.289936705,1.841972628,59,36,0.040192919,0.76537871,0.602229156,7,0.107229744,0.468310528,0.75,0.724778855,0.17,0,0.8
45,2/1/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.883921646,0.110527933,0.093195176,0.889182986,0.243918923,0.175395547,0.878364197,0.546945746,0.42868378,3.651772128,5.102503586,9.414437289,6.932795819,0.421578287,17.42355307,4.703119145,7.126245857,0.234041108,2.123130377,1.092965277,39,36,0.038645368,0.882082274,0.545125852,10,0.104729622,0.458280099,0.75,0.658016627,0.25,0,1
140,2/2/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.875965185,0.114922583,0.085670818,0.729339387,0.24418528,0.192006993,0.851701455,0.543537477,0.421703254,2.075036095,4.77857503,9.764741006,6.65918515,0.429100805,15.68371254,3.040389515,6.00367167,0.394944185,1.019322484,1.876637805,35,36,0.03730258,0.733038389,0.759315501,4,0.755555556,0.877777778,0.930555556,0.652544766,0.38,0,0.5
215,2/2/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.853679452,0.108785805,0.063375588,0.755371211,0.259242755,0.182577976,0.850742447,0.59288052,0.413626755,3.155757825,4.412897834,8.841014382,5.475131904,0.438107043,15.50736285,3.227348205,7.092478032,0.398577382,2.380733044,1.856314877,3,36,0.039679581,0.648844734,0.840940073,6,0.180820505,0.576551045,0.75,0.754978268,0.44,0,0.4
489,2/2/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.916643875,0.1055961,0.054520845,0.764081709,0.233759735,0.164468633,0.766128264,0.563716903,0.413858776,2.0184856,4.914341578,8.61015688,5.257982379,0.402356611,14.79472908,3.402598842,5.898539156,0.227845438,2.767051728,1.722102617,64,36,0.038085893,0.656773759,0.638686577,8,0.780555556,0.855555556,0.930555556,0.556075491,0.43,0,0.3
82,2/2/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.859845357,0.081427994,0.050288023,0.774778681,0.256685587,0.196796455,0.87272052,0.580841079,0.462677125,2.094161283,4.038725903,9.380244588,6.296824611,0.412151995,16.60806333,3.100067417,5.331316761,0.297047596,1.955428221,1.784842788,4,36,0.040038812,0.802254529,0.779133629,3,0.149873166,0.450109521,0.75,0.711766769,0.49,0,0.2
119,2/2/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.947763296,0.105274553,0.051731511,0.820130919,0.266929824,0.197831059,0.866872982,0.554814078,0.490524909,2.000439488,5.510512785,9.055467106,6.769488401,0.449715448,15.77649185,3.64726419,7.773612541,0.359413716,1.751929727,1.248014567,35,36,0.038425935,0.735294845,0.588147585,5,0.134870133,0.550584226,0.75,0.577911295,0.17,0,1
1006,2/2/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.910591247,0.117243376,0.082714475,0.825522015,0.234189359,0.246860041,0.763564011,0.582854354,0.429890999,2.13300744,4.05509648,9.55736082,6.08301551,0.449247089,15.13876646,4.247824658,7.663321343,0.392486793,2.049290562,1.860752157,30,36,0.038683749,0.818581444,0.543816933,4,0.242896073,0.568931486,0.75,0.626925163,0.45,0,0.4
256,2/2/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.925951989,0.108709463,0.0679711,0.844256663,0.25136284,0.214410246,0.873088032,0.581123414,0.447359588,2.213283452,5.053839702,8.045646022,5.047876189,0.406019633,15.45823512,3.505281005,7.405832446,0.301623125,1.273896953,1.180392239,48,36,0.039403717,0.860955678,0.767550193,5,0.752777778,0.875,0.930555556,0.655447114,0.48,0,0.2
77,2/2/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.896951185,0.093587966,0.06065348,0.846818146,0.231273567,0.228208894,0.74240757,0.553494245,0.402845129,3.083705331,5.331208169,8.394665304,6.087630519,0.419480983,16.49896639,3.722559768,6.632945109,0.287959834,2.118102309,1.894212905,11,36,0.037300137,0.613073015,0.79585761,8,0.747222222,0.85,0.930555556,0.727362072,0.49,0,0.3
230,2/2/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.873517782,0.094122957,0.060137434,0.847141976,0.2445469,0.164981665,0.778153626,0.539564667,0.485678072,2.292702426,5.007425938,9.496529533,5.24813358,0.444849256,14.99230234,4.410520166,6.062755615,0.201336854,1.204487811,1.256927736,88,36,0.039920525,0.849486403,0.632875182,6,0.106749917,0.520747759,0.75,0.566448621,0.41,0,0.8
450,2/2/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.8689171,0.109006579,0.085473763,0.852334228,0.255350943,0.176347325,0.849482487,0.548071767,0.475102743,2.036166327,5.709066885,8.79953654,5.970584237,0.421176249,16.17793932,3.744678671,5.569112168,0.377021011,2.402890933,1.968584496,12,36,0.04065006,0.633694374,0.581185008,3,0.181438822,0.511704169,0.75,0.552090744,0.49,0,0.9
193,2/2/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.905136901,0.114081332,0.088593873,0.85380441,0.269830992,0.223930426,0.808206318,0.500352113,0.451233587,2.987970451,4.641041067,9.603085599,5.233841595,0.444273232,14.98401267,3.578405185,5.390527128,0.205436933,1.097058158,1.024938279,16,36,0.040931914,0.736276991,0.559210888,4,0.18436074,0.495269162,0.75,0.729251594,0.26,0,0.3
222,2/2/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.93910887,0.092228737,0.080070442,0.860317535,0.266692741,0.165763239,0.8558304,0.585825227,0.409083476,2.382749267,4.132451546,8.605198523,6.554572137,0.434833836,16.01048288,3.788588455,5.260564636,0.38140862,2.570813996,1.7603819,42,36,0.040616932,0.740972274,0.889650057,8,0.162396504,0.508437396,0.75,0.691459923,0.14,0,1
64,2/2/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.876969244,0.100528419,0.07574257,0.860975618,0.231656276,0.179016244,0.734480273,0.509674026,0.422936016,2.720048455,4.201774656,9.596954581,6.883879392,0.407039551,17.80832295,4.699860641,6.265583596,0.301289829,1.171292231,1.520965015,31,36,0.039332394,0.723493551,0.574490707,9,0.135380434,0.560604224,0.75,0.597761902,0.36,0,0.6
