Date,VisitEnc,RestNum50,RestNum25,RestNumClosed
2/1/2020,0,0,0,0
2/2/2020,0,0,0,0
2/3/2020,0,0,0,0
2/4/2020,0,0,0,0
2/5/2020,0,0,0,0
2/6/2020,0,0,0,0
2/7/2020,0,0,0,0
2/8/2020,0,0,0,0
2/9/2020,0,0,0,0
2/10/2020,0,0,0,0
2/11/2020,0,0,0,0
2/12/2020,0,0,0,0
2/13/2020,0,0,0,0
2/14/2020,0,0,0,0
2/15/2020,0,0,0,0
2/16/2020,0,0,0,0
2/17/2020,0,0,0,0
2/18/2020,0,0.06,0.06,0.06
2/19/2020,0,0.7,0.7,0.7
2/20/2020,0,0.04,0.04,0.04
2/21/2020,0,0.01,0.01,0.01
2/22/2020,0,0.08,0.08,0.08
2/23/2020,0,0.08,0.08,0.08
2/24/2020,-0.064694217,0.08,0.08,0.08
2/25/2020,-0.032900499,-0.03,-0.03,-0.03
2/26/2020,-0.016935016,-0.08,-0.08,-0.08
2/27/2020,-0.036157556,-0.01,-0.01,-0.01
2/28/2020,0.011265626,0.1,0.1,0.1
2/29/2020,0.045229062,0,0,0
3/1/2020,-0.010819731,0.25,0.25,0.25
3/2/2020,-0.075374338,-0.05,-0.05,-0.05
3/3/2020,-0.040627459,-0.04,-0.04,-0.04
3/4/2020,-0.024428791,0.11,0.11,0.11
3/5/2020,-0.090460159,-0.05,-0.05,-0.05
3/6/2020,-0.093179581,0.02,0.02,0.02
3/7/2020,0.019351007,-0.02,-0.02,-0.02
3/8/2020,-0.033122397,-0.01,-0.01,-0.01
3/9/2020,-0.063248633,-0.06,-0.06,-0.06
3/10/2020,-0.060054582,-0.18,-0.18,-0.18
3/11/2020,-0.157923811,-0.21,-0.21,-0.21
3/12/2020,-0.068095878,-0.33,-0.33,-0.33
3/13/2020,-0.144819593,-0.37,-0.37,-0.37
3/14/2020,-0.26099209,-0.59,-0.59,-0.59
3/15/2020,-0.277057336,-0.67,-0.67,-0.67
3/16/2020,-0.25196553,-0.71,-0.71,-0.71
3/17/2020,-0.381539833,-1,-1,-1
3/18/2020,-0.43441021,-1,-1,-1
3/19/2020,-0.501264569,-1,-1,-1
3/20/2020,-0.614004877,-1,-1,-1
3/21/2020,-0.628143862,-1,-1,-1
3/22/2020,-0.608892549,-1,-1,-1
3/23/2020,-0.557642415,-1,-1,-1
3/24/2020,-0.575641083,-1,-1,-1
3/25/2020,-0.620698478,-1,-1,-1
3/26/2020,-0.590595668,-1,-1,-1
3/27/2020,-0.605112592,-1,-1,-1
