Date,hospitalizations
8/1/2020,553
8/2/2020,548
8/3/2020,547
8/4/2020,555
8/5/2020,535
8/6/2020,528
8/7/2020,515
8/8/2020,525
8/9/2020,534
8/10/2020,529
8/11/2020,488
8/12/2020,470
8/13/2020,457
8/14/2020,460
8/15/2020,475
8/16/2020,435
8/17/2020,453
8/18/2020,475
8/19/2020,455
8/20/2020,455
8/21/2020,441
8/22/2020,407
8/23/2020,407
8/24/2020,411
8/25/2020,432
8/26/2020,412
8/27/2020,412
8/28/2020,387
8/29/2020,358
8/30/2020,377
8/31/2020,385
9/1/2020,370
9/2/2020,382
9/3/2020,395
9/4/2020,353
9/5/2020,341
9/6/2020,362
9/7/2020,365
9/8/2020,370
9/9/2020,358
9/10/2020,369
9/11/2020,361
9/12/2020,351
9/13/2020,347
9/14/2020,371
9/15/2020,347
9/16/2020,353
9/17/2020,347
9/18/2020,324
9/19/2020,281
9/20/2020,290
9/21/2020,309
9/22/2020,332
9/23/2020,349
9/24/2020,344
9/25/2020,347
9/26/2020,328
9/27/2020,315
9/28/2020,344
9/29/2020,334
9/30/2020,331
10/1/2020,323
10/2/2020,323
10/3/2020,320
10/4/2020,338
10/5/2020,360
10/6/2020,391
10/7/2020,403
10/8/2020,391
10/9/2020,383
10/10/2020,393
10/11/2020,384
10/12/2020,402
10/13/2020,417
10/14/2020,412
10/15/2020,416
10/16/2020,422
10/17/2020,433
10/18/2020,434
10/19/2020,464
10/20/2020,463
10/21/2020,458
10/22/2020,458
10/23/2020,455
10/24/2020,446
10/25/2020,456
10/26/2020,471
10/27/2020,501
10/28/2020,502
10/29/2020,513
10/30/2020,520
10/31/2020,523
11/1/2020,529
11/2/2020,562
11/3/2020,595
11/4/2020,588
11/5/2020,609
11/6/2020,632
11/7/2020,655
11/8/2020,707
11/9/2020,761
11/10/2020,805
11/11/2020,863
