HOSPID,ProviderNames,Pats
90001,George Washington University Hospital,7
90002,Hadley Memorial Hospital,18
90003,Howard University Hospital,10
90004,MedStar Georgetown University ,6
90005,Sibley Memorial Hospital,4
90006,Providence Hospital,7
90008,United Medical Center,9
90011,MedStar Washington Hospital Center,11
97000,Other D.C. Hospitals,1
490000,Virginia,260
210001,Meritus Medical Center,10
210002,University of Maryland Medical Center,13
210003,Prince George's Hospital Center,1
210004,Holy Cross Hospital,29
210005,Frederick Memorial Hospital,2
210008,Mercy Medical Center,3
210009,Johns Hopkins Hospital,19
210010,Dorchester (UMSRH),0
210011,St. Agnes Hospital,6
210012,Sinai Hospital of Baltimore,12
210016,White Oak Medical Center,19
210017,Garrett Memorial Hospital (WVU),0
210018,Montgomery Medical Center (MedStar),9
210019,Peninsula Regional Medical Center,7
210022,Suburban Hospital,6
210023,Anne Arundel Medical Center,8
210024,Union Memorial Hospital (MedStar),8
210027,Western Maryland Medical Center (UPMC),6
210028,St. Mary's Hospital,1
210029,Johns Hopkins Bayview Medical Center,12
210030,Chestertown (UMSRH),0
210033,Carroll Hospital Center,3
210034,Harbor Hospital (MedStar),5
210035,Charles Regional (UM),2
210037,Easton (UMSRH),4
210038,UMM Center Midtown Campus (acute) (Formerly Maryland General),3
210039,Calvert Memorial Hospital,1
210040,Northwest Hospital,8
210043,Baltimore Washington Medical Center,21
210044,Greater Baltimore Medical Center,11
210048,Howard County General Hospital (JHM),5
210051,Doctors Community Hospital,16
210055,Greater Laurel,24
210056,Good Samaritan Hospital (MedStar),15
210057,Shady Grove Adventist Hospital,6
210060,Fort Washington Hospital,0
210061,Atlantic General Hospital,4
210062,Southern Maryland Hospital (MedStar),8
210063,St. Joseph's (UM),5
210065,Holy Cross Germantown,5
210088,Queenstown Emergency Center,0
210015,Franklin Square (MedStar),25
210013,Grace Medical Center,0
210032,Union Hospital of Cecil County,2
210049,Upper Chesapeake Medical Center (UMUCH),12
210045,Edward McCready Memorial Hospital,0
210006,Harford Memorial Hospital (UMUCH),2
