Date,Measure Names,absolutehumidityaverage,Min,Max
1/1/2020,AbsoluteHumidity,4.095531138,4.095531138,4.095531138
1/2/2020,AbsoluteHumidity,4.086174132,4.086174132,4.086174132
1/3/2020,AbsoluteHumidity,5.138069731,5.138069731,5.138069731
1/4/2020,AbsoluteHumidity,6.186629826,6.186629826,6.186629826
1/5/2020,AbsoluteHumidity,5.770821481,5.770821481,5.770821481
1/6/2020,AbsoluteHumidity,5.4487802,5.4487802,5.4487802
1/7/2020,AbsoluteHumidity,5.207842518,5.207842518,5.207842518
1/8/2020,AbsoluteHumidity,5.162840981,5.162840981,5.162840981
1/9/2020,AbsoluteHumidity,4.921879809,4.921879809,4.921879809
1/10/2020,AbsoluteHumidity,4.584522696,4.584522696,4.584522696
1/11/2020,AbsoluteHumidity,4.555793581,4.555793581,4.555793581
1/12/2020,AbsoluteHumidity,5.371254128,5.371254128,5.371254128
1/13/2020,AbsoluteHumidity,5.748458549,5.748458549,5.748458549
1/14/2020,AbsoluteHumidity,6.217247425,6.217247425,6.217247425
1/15/2020,AbsoluteHumidity,6.701936493,6.701936493,6.701936493
1/16/2020,AbsoluteHumidity,7.13229453,7.13229453,7.13229453
1/17/2020,AbsoluteHumidity,6.770639188,6.770639188,6.770639188
1/18/2020,AbsoluteHumidity,5.865359882,5.865359882,5.865359882
1/19/2020,AbsoluteHumidity,5.110159986,5.110159986,5.110159986
1/20/2020,AbsoluteHumidity,4.471681978,4.471681978,4.471681978
1/21/2020,AbsoluteHumidity,3.751867292,3.751867292,3.751867292
1/22/2020,AbsoluteHumidity,3.089554397,3.089554397,3.089554397
1/23/2020,AbsoluteHumidity,2.767656525,2.767656525,2.767656525
1/24/2020,AbsoluteHumidity,3.121682005,3.121682005,3.121682005
1/25/2020,AbsoluteHumidity,3.781633092,3.781633092,3.781633092
1/26/2020,AbsoluteHumidity,3.816563958,3.816563958,3.816563958
1/27/2020,AbsoluteHumidity,4.137960913,4.137960913,4.137960913
1/28/2020,AbsoluteHumidity,4.443694787,4.443694787,4.443694787
1/29/2020,AbsoluteHumidity,4.596085193,4.596085193,4.596085193
1/30/2020,AbsoluteHumidity,4.600597806,4.600597806,4.600597806
1/31/2020,AbsoluteHumidity,4.517245157,4.517245157,4.517245157
2/1/2020,AbsoluteHumidity,4.229926929,4.229926929,4.229926929
2/2/2020,AbsoluteHumidity,4.296756971,4.296756971,4.296756971
2/3/2020,AbsoluteHumidity,4.442039828,4.442039828,4.442039828
2/4/2020,AbsoluteHumidity,4.870537522,4.870537522,4.870537522
2/5/2020,AbsoluteHumidity,5.310212038,5.310212038,5.310212038
2/6/2020,AbsoluteHumidity,5.758029944,5.758029944,5.758029944
2/7/2020,AbsoluteHumidity,6.088692126,6.088692126,6.088692126
2/8/2020,AbsoluteHumidity,5.758929593,5.758929593,5.758929593
2/9/2020,AbsoluteHumidity,5.548908072,5.548908072,5.548908072
2/10/2020,AbsoluteHumidity,5.599009068,5.599009068,5.599009068
2/11/2020,AbsoluteHumidity,5.857953972,5.857953972,5.857953972
2/12/2020,AbsoluteHumidity,5.576071565,5.576071565,5.576071565
2/13/2020,AbsoluteHumidity,5.721100125,5.721100125,5.721100125
2/14/2020,AbsoluteHumidity,5.242874985,5.242874985,5.242874985
2/15/2020,AbsoluteHumidity,5.070721959,5.070721959,5.070721959
