ZIP,COUNTYNAME,STATE,STCOUNTYFP,CLASSFP
20024,District of Columbia,DC,11001,H6
20376,District of Columbia,DC,11001,H6
20319,District of Columbia,DC,11001,H6
20037,District of Columbia,DC,11001,H6
20030,District of Columbia,DC,11001,H6
20522,District of Columbia,DC,11001,H6
20520,District of Columbia,DC,11001,H6
20500,District of Columbia,DC,11001,H6
20038,District of Columbia,DC,11001,H6
20544,District of Columbia,DC,11001,H6
20566,District of Columbia,DC,11001,H6
20506,District of Columbia,DC,11001,H6
20451,District of Columbia,DC,11001,H6
20201,District of Columbia,DC,11001,H6
20442,District of Columbia,DC,11001,H6
20254,District of Columbia,DC,11001,H6
20415,District of Columbia,DC,11001,H6
20547,District of Columbia,DC,11001,H6
20546,District of Columbia,DC,11001,H6
20543,District of Columbia,DC,11001,H6
20428,District of Columbia,DC,11001,H6
20220,District of Columbia,DC,11001,H6
20060,District of Columbia,DC,11001,H6
20573,District of Columbia,DC,11001,H6
20245,District of Columbia,DC,11001,H6
20425,District of Columbia,DC,11001,H6
20542,District of Columbia,DC,11001,H6
20509,District of Columbia,DC,11001,H6
20392,District of Columbia,DC,11001,H6
20019,District of Columbia,DC,11001,H6
20016,District of Columbia,DC,11001,H6
20536,District of Columbia,DC,11001,H6
20032,District of Columbia,DC,11001,H6
20036,District of Columbia,DC,11001,H6
20020,District of Columbia,DC,11001,H6
20570,District of Columbia,DC,11001,H6
20597,District of Columbia,DC,11001,H6
20202,District of Columbia,DC,11001,H6
20510,District of Columbia,DC,11001,H6
20229,District of Columbia,DC,11001,H6
20440,District of Columbia,DC,11001,H6
20076,District of Columbia,DC,11001,H6
20524,District of Columbia,DC,11001,H6
20056,District of Columbia,DC,11001,H6
20213,District of Columbia,DC,11001,H6
20289,District of Columbia,DC,11001,H6
20244,District of Columbia,DC,11001,H6
20531,District of Columbia,DC,11001,H6
20407,District of Columbia,DC,11001,H6
20423,District of Columbia,DC,11001,H6
20557,District of Columbia,DC,11001,H6
20005,District of Columbia,DC,11001,H6
20004,District of Columbia,DC,11001,H6
20001,District of Columbia,DC,11001,H6
20026,District of Columbia,DC,11001,H6
20044,District of Columbia,DC,11001,H6
20065,District of Columbia,DC,11001,H6
20059,District of Columbia,DC,11001,H6
20380,District of Columbia,DC,11001,H6
20033,District of Columbia,DC,11001,H6
20039,District of Columbia,DC,11001,H6
20043,District of Columbia,DC,11001,H6
20503,District of Columbia,DC,11001,H6
20530,District of Columbia,DC,11001,H6
20523,District of Columbia,DC,11001,H6
20551,District of Columbia,DC,11001,H6
20404,District of Columbia,DC,11001,H6
20560,District of Columbia,DC,11001,H6
20240,District of Columbia,DC,11001,H6
20594,District of Columbia,DC,11001,H6
20590,District of Columbia,DC,11001,H6
20270,District of Columbia,DC,11001,H6
20419,District of Columbia,DC,11001,H6
20434,District of Columbia,DC,11001,H6
20539,District of Columbia,DC,11001,H6
20219,District of Columbia,DC,11001,H6
20508,District of Columbia,DC,11001,H6
20042,District of Columbia,DC,11001,H6
20208,District of Columbia,DC,11001,H6
20049,District of Columbia,DC,11001,H6
20439,District of Columbia,DC,11001,H6
20591,District of Columbia,DC,11001,H6
20006,District of Columbia,DC,11001,H6
20002,District of Columbia,DC,11001,H6
20223,District of Columbia,DC,11001,H6
20374,District of Columbia,DC,11001,H6
20515,District of Columbia,DC,11001,H6
20090,District of Columbia,DC,11001,H6
20045,District of Columbia,DC,11001,H6
20422,District of Columbia,DC,11001,H6
20576,District of Columbia,DC,11001,H6
20414,District of Columbia,DC,11001,H6
20527,District of Columbia,DC,11001,H6
20303,District of Columbia,DC,11001,H6
20242,District of Columbia,DC,11001,H6
20411,District of Columbia,DC,11001,H6
20391,District of Columbia,DC,11001,H6
20053,District of Columbia,DC,11001,H6
20504,District of Columbia,DC,11001,H6
20555,District of Columbia,DC,11001,H6
20203,District of Columbia,DC,11001,H6
20370,District of Columbia,DC,11001,H6
20444,District of Columbia,DC,11001,H6
20505,District of Columbia,DC,11001,H6
20064,District of Columbia,DC,11001,H6
20204,District of Columbia,DC,11001,H6
20011,District of Columbia,DC,11001,H6
20018,District of Columbia,DC,11001,H6
20010,District of Columbia,DC,11001,H6
20540,District of Columbia,DC,11001,H6
20250,District of Columbia,DC,11001,H6
20373,District of Columbia,DC,11001,H6
20472,District of Columbia,DC,11001,H6
20528,District of Columbia,DC,11001,H6
20534,District of Columbia,DC,11001,H6
20029,District of Columbia,DC,11001,H6
20554,District of Columbia,DC,11001,H6
20575,District of Columbia,DC,11001,H6
20429,District of Columbia,DC,11001,H6
20433,District of Columbia,DC,11001,H6
20071,District of Columbia,DC,11001,H6
20541,District of Columbia,DC,11001,H6
20456,District of Columbia,DC,11001,H6
20340,District of Columbia,DC,11001,H6
20579,District of Columbia,DC,11001,H6
20581,District of Columbia,DC,11001,H6
20553,District of Columbia,DC,11001,H6
20412,District of Columbia,DC,11001,H6
20417,District of Columbia,DC,11001,H6
20463,District of Columbia,DC,11001,H6
20521,District of Columbia,DC,11001,H6
20015,District of Columbia,DC,11001,H6
20091,District of Columbia,DC,11001,H6
20593,District of Columbia,DC,11001,H6
20436,District of Columbia,DC,11001,H6
20401,District of Columbia,DC,11001,H6
20224,District of Columbia,DC,11001,H6
20398,District of Columbia,DC,11001,H6
20424,District of Columbia,DC,11001,H6
20066,District of Columbia,DC,11001,H6
20416,District of Columbia,DC,11001,H6
20421,District of Columbia,DC,11001,H6
20221,District of Columbia,DC,11001,H6
20268,District of Columbia,DC,11001,H6
20535,District of Columbia,DC,11001,H6
20441,District of Columbia,DC,11001,H6
20057,District of Columbia,DC,11001,H6
20216,District of Columbia,DC,11001,H6
20548,District of Columbia,DC,11001,H6
20403,District of Columbia,DC,11001,H6
20230,District of Columbia,DC,11001,H6
20402,District of Columbia,DC,11001,H6
20073,District of Columbia,DC,11001,H6
20526,District of Columbia,DC,11001,H6
20533,District of Columbia,DC,11001,H6
20431,District of Columbia,DC,11001,H6
20538,District of Columbia,DC,11001,H6
20571,District of Columbia,DC,11001,H6
20063,District of Columbia,DC,11001,H6
20235,District of Columbia,DC,11001,H6
20410,District of Columbia,DC,11001,H6
20420,District of Columbia,DC,11001,H6
20017,District of Columbia,DC,11001,H6
20003,District of Columbia,DC,11001,H6
20008,District of Columbia,DC,11001,H6
20529,District of Columbia,DC,11001,H6
20040,District of Columbia,DC,11001,H6
20549,District of Columbia,DC,11001,H6
20239,District of Columbia,DC,11001,H6
20435,District of Columbia,DC,11001,H6
20375,District of Columbia,DC,11001,H6
56998,District of Columbia,DC,11001,H6
20405,District of Columbia,DC,11001,H6
20552,District of Columbia,DC,11001,H6
20388,District of Columbia,DC,11001,H6
20577,District of Columbia,DC,11001,H6
20211,District of Columbia,DC,11001,H6
20241,District of Columbia,DC,11001,H6
20217,District of Columbia,DC,11001,H6
20222,District of Columbia,DC,11001,H6
20218,District of Columbia,DC,11001,H6
20413,District of Columbia,DC,11001,H6
20055,District of Columbia,DC,11001,H6
20210,District of Columbia,DC,11001,H6
20237,District of Columbia,DC,11001,H6
20580,District of Columbia,DC,11001,H6
20047,District of Columbia,DC,11001,H6
20062,District of Columbia,DC,11001,H6
20447,District of Columbia,DC,11001,H6
20012,District of Columbia,DC,11001,H6
20009,District of Columbia,DC,11001,H6
20013,District of Columbia,DC,11001,H6
20007,District of Columbia,DC,11001,H6
20559,District of Columbia,DC,11001,H6
20226,District of Columbia,DC,11001,H6
20035,District of Columbia,DC,11001,H6
20027,District of Columbia,DC,11001,H6
20052,District of Columbia,DC,11001,H6
20586,District of Columbia,DC,11001,H6
20372,District of Columbia,DC,11001,H6
20318,District of Columbia,DC,11001,H6
20565,District of Columbia,DC,11001,H6
20418,District of Columbia,DC,11001,H6
20507,District of Columbia,DC,11001,H6
20427,District of Columbia,DC,11001,H6
20260,District of Columbia,DC,11001,H6
20212,District of Columbia,DC,11001,H6
20585,District of Columbia,DC,11001,H6
20460,District of Columbia,DC,11001,H6
20437,District of Columbia,DC,11001,H6
20227,District of Columbia,DC,11001,H6
20390,District of Columbia,DC,11001,H6
20408,District of Columbia,DC,11001,H6
20525,District of Columbia,DC,11001,H6
20215,District of Columbia,DC,11001,H6
20426,District of Columbia,DC,11001,H6
20572,District of Columbia,DC,11001,H6
20306,District of Columbia,DC,11001,H6
20228,District of Columbia,DC,11001,H6
21545,Allegany County,MD,24001,H1
21501,Allegany County,MD,24001,H1
21539,Allegany County,MD,24001,H1
21556,Allegany County,MD,24001,H1
21542,Allegany County,MD,24001,H1
21502,Allegany County,MD,24001,H1
21532,Allegany County,MD,24001,H1
21521,Allegany County,MD,24001,H1
21503,Allegany County,MD,24001,H1
21557,Allegany County,MD,24001,H1
21543,Allegany County,MD,24001,H1
21529,Allegany County,MD,24001,H1
21560,Allegany County,MD,24001,H1
21555,Allegany County,MD,24001,H1
21766,Allegany County,MD,24001,H1
21540,Allegany County,MD,24001,H1
21530,Allegany County,MD,24001,H1
21562,Allegany County,MD,24001,H1
21524,Allegany County,MD,24001,H1
21505,Allegany County,MD,24001,H1
21750,Allegany County,MD,24001,H1
21528,Allegany County,MD,24001,H1
21504,Allegany County,MD,24001,H1
20701,Anne Arundel County,MD,24003,H1
21140,Anne Arundel County,MD,24003,H1
21076,Anne Arundel County,MD,24003,H1
21401,Anne Arundel County,MD,24003,H1
21240,Anne Arundel County,MD,24003,H1
20765,Anne Arundel County,MD,24003,H1
20711,Anne Arundel County,MD,24003,H1
20733,Anne Arundel County,MD,24003,H1
21412,Anne Arundel County,MD,24003,H1
20755,Anne Arundel County,MD,24003,H1
20751,Anne Arundel County,MD,24003,H1
20758,Anne Arundel County,MD,24003,H1
21146,Anne Arundel County,MD,24003,H1
21402,Anne Arundel County,MD,24003,H1
20778,Anne Arundel County,MD,24003,H1
21077,Anne Arundel County,MD,24003,H1
21106,Anne Arundel County,MD,24003,H1
20794,Anne Arundel County,MD,24003,H1
20764,Anne Arundel County,MD,24003,H1
21035,Anne Arundel County,MD,24003,H1
21123,Anne Arundel County,MD,24003,H1
21226,Anne Arundel County,MD,24003,H1
21403,Anne Arundel County,MD,24003,H1
20736,Anne Arundel County,MD,24003,H1
21062,Anne Arundel County,MD,24003,H1
21411,Anne Arundel County,MD,24003,H1
21113,Anne Arundel County,MD,24003,H1
21054,Anne Arundel County,MD,24003,H1
21056,Anne Arundel County,MD,24003,H1
21225,Anne Arundel County,MD,24003,H1
20776,Anne Arundel County,MD,24003,H1
21032,Anne Arundel County,MD,24003,H1
21122,Anne Arundel County,MD,24003,H1
21144,Anne Arundel County,MD,24003,H1
21108,Anne Arundel County,MD,24003,H1
21405,Anne Arundel County,MD,24003,H1
21060,Anne Arundel County,MD,24003,H1
21061,Anne Arundel County,MD,24003,H1
20724,Anne Arundel County,MD,24003,H1
20779,Anne Arundel County,MD,24003,H1
21037,Anne Arundel County,MD,24003,H1
21012,Anne Arundel County,MD,24003,H1
21090,Anne Arundel County,MD,24003,H1
21114,Anne Arundel County,MD,24003,H1
21409,Anne Arundel County,MD,24003,H1
21404,Anne Arundel County,MD,24003,H1
20714,Anne Arundel County,MD,24003,H1
20754,Anne Arundel County,MD,24003,H1
21221,Baltimore County,MD,24005,H1
21224,Baltimore County,MD,24005,H1
21153,Baltimore County,MD,24005,H1
21282,Baltimore County,MD,24005,H1
21092,Baltimore County,MD,24005,H1
21105,Baltimore County,MD,24005,H1
21136,Baltimore County,MD,24005,H1
21053,Baltimore County,MD,24005,H1
21237,Baltimore County,MD,24005,H1
21222,Baltimore County,MD,24005,H1
21163,Baltimore County,MD,24005,H1
21104,Baltimore County,MD,24005,H1
21235,Baltimore County,MD,24005,H1
21087,Baltimore County,MD,24005,H1
21057,Baltimore County,MD,24005,H1
21229,Baltimore County,MD,24005,H1
21227,Baltimore County,MD,24005,H1
21207,Baltimore County,MD,24005,H1
21206,Baltimore County,MD,24005,H1
21022,Baltimore County,MD,24005,H1
21082,Baltimore County,MD,24005,H1
21065,Baltimore County,MD,24005,H1
21225,Baltimore County,MD,24005,H1
21204,Baltimore County,MD,24005,H1
21234,Baltimore County,MD,24005,H1
21212,Baltimore County,MD,24005,H1
21210,Baltimore County,MD,24005,H1
21051,Baltimore County,MD,24005,H1
21252,Baltimore County,MD,24005,H1
21031,Baltimore County,MD,24005,H1
21128,Baltimore County,MD,24005,H1
21131,Baltimore County,MD,24005,H1
21228,Baltimore County,MD,24005,H1
21236,Baltimore County,MD,24005,H1
21215,Baltimore County,MD,24005,H1
21139,Baltimore County,MD,24005,H1
21285,Baltimore County,MD,24005,H1
21023,Baltimore County,MD,24005,H1
21043,Baltimore County,MD,24005,H1
21155,Baltimore County,MD,24005,H1
21117,Baltimore County,MD,24005,H1
21102,Baltimore County,MD,24005,H1
21071,Baltimore County,MD,24005,H1
21085,Baltimore County,MD,24005,H1
21030,Baltimore County,MD,24005,H1
21161,Baltimore County,MD,24005,H1
21162,Baltimore County,MD,24005,H1
21133,Baltimore County,MD,24005,H1
21052,Baltimore County,MD,24005,H1
21209,Baltimore County,MD,24005,H1
21208,Baltimore County,MD,24005,H1
21286,Baltimore County,MD,24005,H1
21244,Baltimore County,MD,24005,H1
21284,Baltimore County,MD,24005,H1
21156,Baltimore County,MD,24005,H1
21239,Baltimore County,MD,24005,H1
21241,Baltimore County,MD,24005,H1
21152,Baltimore County,MD,24005,H1
21120,Baltimore County,MD,24005,H1
21093,Baltimore County,MD,24005,H1
21111,Baltimore County,MD,24005,H1
21074,Baltimore County,MD,24005,H1
21220,Baltimore County,MD,24005,H1
21013,Baltimore County,MD,24005,H1
21094,Baltimore County,MD,24005,H1
21219,Baltimore County,MD,24005,H1
21020,Baltimore County,MD,24005,H1
21250,Baltimore County,MD,24005,H1
21027,Baltimore County,MD,24005,H1
20714,Calvert County,MD,24009,H1
20688,Calvert County,MD,24009,H1
20754,Calvert County,MD,24009,H1
20629,Calvert County,MD,24009,H1
20657,Calvert County,MD,24009,H1
20678,Calvert County,MD,24009,H1
20639,Calvert County,MD,24009,H1
20689,Calvert County,MD,24009,H1
20610,Calvert County,MD,24009,H1
20758,Calvert County,MD,24009,H1
20736,Calvert County,MD,24009,H1
20732,Calvert County,MD,24009,H1
20615,Calvert County,MD,24009,H1
20676,Calvert County,MD,24009,H1
20685,Calvert County,MD,24009,H1
21632,Caroline County,MD,24011,H1
21641,Caroline County,MD,24011,H1
21640,Caroline County,MD,24011,H1
21649,Caroline County,MD,24011,H1
21657,Caroline County,MD,24011,H1
21629,Caroline County,MD,24011,H1
21655,Caroline County,MD,24011,H1
21636,Caroline County,MD,24011,H1
21660,Caroline County,MD,24011,H1
21609,Caroline County,MD,24011,H1
21639,Caroline County,MD,24011,H1
21074,Carroll County,MD,24013,H1
21048,Carroll County,MD,24013,H1
21771,Carroll County,MD,24013,H1
21784,Carroll County,MD,24013,H1
21757,Carroll County,MD,24013,H1
21791,Carroll County,MD,24013,H1
21157,Carroll County,MD,24013,H1
21102,Carroll County,MD,24013,H1
21155,Carroll County,MD,24013,H1
21158,Carroll County,MD,24013,H1
21787,Carroll County,MD,24013,H1
21104,Carroll County,MD,24013,H1
21776,Carroll County,MD,24013,H1
21797,Carroll County,MD,24013,H1
21136,Carroll County,MD,24013,H1
21911,Cecil County,MD,24015,H1
21902,Cecil County,MD,24015,H1
21921,Cecil County,MD,24015,H1
21903,Cecil County,MD,24015,H1
21922,Cecil County,MD,24015,H1
21930,Cecil County,MD,24015,H1
21912,Cecil County,MD,24015,H1
21916,Cecil County,MD,24015,H1
21918,Cecil County,MD,24015,H1
21901,Cecil County,MD,24015,H1
21919,Cecil County,MD,24015,H1
21917,Cecil County,MD,24015,H1
21904,Cecil County,MD,24015,H1
21913,Cecil County,MD,24015,H1
21914,Cecil County,MD,24015,H1
21915,Cecil County,MD,24015,H1
21920,Cecil County,MD,24015,H1
20637,Charles County,MD,24017,H1
20675,Charles County,MD,24017,H1
20695,Charles County,MD,24017,H1
20658,Charles County,MD,24017,H1
20601,Charles County,MD,24017,H1
20616,Charles County,MD,24017,H1
20617,Charles County,MD,24017,H1
20611,Charles County,MD,24017,H1
20632,Charles County,MD,24017,H1
20664,Charles County,MD,24017,H1
20603,Charles County,MD,24017,H1
20625,Charles County,MD,24017,H1
20612,Charles County,MD,24017,H1
20607,Charles County,MD,24017,H1
20661,Charles County,MD,24017,H1
20646,Charles County,MD,24017,H1
20645,Charles County,MD,24017,H1
20643,Charles County,MD,24017,H1
20677,Charles County,MD,24017,H1
20693,Charles County,MD,24017,H1
20640,Charles County,MD,24017,H1
20602,Charles County,MD,24017,H1
20622,Charles County,MD,24017,H1
20604,Charles County,MD,24017,H1
20662,Charles County,MD,24017,H1
20659,Charles County,MD,24017,H1
20613,Charles County,MD,24017,H1
21632,Dorchester County,MD,24019,H1
21643,Dorchester County,MD,24019,H1
21613,Dorchester County,MD,24019,H1
21648,Dorchester County,MD,24019,H1
21631,Dorchester County,MD,24019,H1
21634,Dorchester County,MD,24019,H1
21869,Dorchester County,MD,24019,H1
21659,Dorchester County,MD,24019,H1
21626,Dorchester County,MD,24019,H1
21675,Dorchester County,MD,24019,H1
21669,Dorchester County,MD,24019,H1
21627,Dorchester County,MD,24019,H1
21622,Dorchester County,MD,24019,H1
21677,Dorchester County,MD,24019,H1
21835,Dorchester County,MD,24019,H1
21672,Dorchester County,MD,24019,H1
21664,Dorchester County,MD,24019,H1
21702,Frederick County,MD,24021,H1
21788,Frederick County,MD,24021,H1
21774,Frederick County,MD,24021,H1
21777,Frederick County,MD,24021,H1
21759,Frederick County,MD,24021,H1
21762,Frederick County,MD,24021,H1
21776,Frederick County,MD,24021,H1
21701,Frederick County,MD,24021,H1
21773,Frederick County,MD,24021,H1
21755,Frederick County,MD,24021,H1
21771,Frederick County,MD,24021,H1
21757,Frederick County,MD,24021,H1
21703,Frederick County,MD,24021,H1
21710,Frederick County,MD,24021,H1
21754,Frederick County,MD,24021,H1
21783,Frederick County,MD,24021,H1
21705,Frederick County,MD,24021,H1
21719,Frederick County,MD,24021,H1
20842,Frederick County,MD,24021,H1
21727,Frederick County,MD,24021,H1
21769,Frederick County,MD,24021,H1
21793,Frederick County,MD,24021,H1
21787,Frederick County,MD,24021,H1
21798,Frederick County,MD,24021,H1
21791,Frederick County,MD,24021,H1
21778,Frederick County,MD,24021,H1
21714,Frederick County,MD,24021,H1
20871,Frederick County,MD,24021,H1
21716,Frederick County,MD,24021,H1
21770,Frederick County,MD,24021,H1
21717,Frederick County,MD,24021,H1
21790,Frederick County,MD,24021,H1
21718,Frederick County,MD,24021,H1
21775,Frederick County,MD,24021,H1
21704,Frederick County,MD,24021,H1
21758,Frederick County,MD,24021,H1
21780,Frederick County,MD,24021,H1
21713,Frederick County,MD,24021,H1
21539,Garrett County,MD,24023,H1
21538,Garrett County,MD,24023,H1
21550,Garrett County,MD,24023,H1
21520,Garrett County,MD,24023,H1
21532,Garrett County,MD,24023,H1
21561,Garrett County,MD,24023,H1
21541,Garrett County,MD,24023,H1
21521,Garrett County,MD,24023,H1
21523,Garrett County,MD,24023,H1
21536,Garrett County,MD,24023,H1
21522,Garrett County,MD,24023,H1
21531,Garrett County,MD,24023,H1
21562,Garrett County,MD,24023,H1
21040,Harford County,MD,24025,H1
