OBJECTID,ZIP_CODE,PO_NAME,COUNTY,STCOUNTYFP,STATE,POPULATION,POP_SQMI,SQMI,Shape_Leng,Shape_Area,Longitude,Latitude,BAProportion,NursingCareFacilities,AssistedLivingFacilities,LTCF,HealthcareWorkerPercent
5781,20001,Washington,District of Columbia,11001,DC,50832,23317.43,2.18,0.14606492,0.000586298,-77.01773448,38.91043604,0.607316612,0,0,0,0.033423828
5782,20002,Washington,District of Columbia,11001,DC,70497,13177.01,5.35,0.237359666,0.001438078,-76.98457599,38.90564068,0.574379631,0,0,0,0.038795977
5783,20003,Washington,District of Columbia,11001,DC,33414,13312.35,2.51,0.175743752,0.000674197,-76.99086327,38.88145546,0.726683889,0,0,0,0.026306339
5784,20004,Washington,District of Columbia,11001,DC,1855,2727.94,0.68,0.074148936,0.000183615,-77.02332835,38.89193062,0.907255865,0,0,0,0.026415094
5785,20005,Washington,District of Columbia,11001,DC,14588,32417.78,0.45,0.047993871,0.000121235,-77.03156906,38.90459913,0.7573318,0,0,0,0.020359199
5786,20006,Washington,District of Columbia,11001,DC,2738,4720.69,0.58,0.062105529,0.000155971,-77.03964623,38.89588439,0.191755613,0,0,0,0
5787,20007,Washington,District of Columbia,11001,DC,32363,9462.87,3.42,0.193401176,0.000919265,-77.07866003,38.91395582,0.777866779,0,0,0,0.028983716
5788,20008,Washington,District of Columbia,11001,DC,30530,9086.31,3.36,0.201620821,0.000902819,-77.0591559,38.9364576,0.873195758,0,0,0,0.03249263
5789,20009,Washington,District of Columbia,11001,DC,55769,42571.76,1.31,0.083202452,0.000352029,-77.0372142,38.91985345,0.781165614,0,0,0,0.031630476
5790,20010,Washington,District of Columbia,11001,DC,31941,29575,1.08,0.129165083,0.000290137,-77.03051603,38.93258555,0.585305106,0,0,0,0.035033343
5791,20011,Washington,District of Columbia,11001,DC,65045,11532.8,5.64,0.236182813,0.001518543,-77.02176987,38.9512524,0.417237464,0,0,0,0.043477592
