Date,Baseline,BaselineTotal,Moderate,ModerateTotal,High,HighTotal
12/14/2020,5160,5160,5160,5160,5160,5160
12/15/2020,5160,10320,5160,10320,5160,10320
12/16/2020,5160,15480,5160,15480,5160,15480
12/17/2020,5160,20640,5160,20640,5160,20640
12/18/2020,5160,25800,5160,25800,5160,25800
12/19/2020,5160,30960,5160,30960,5160,30960
12/20/2020,5160,36120,5160,36120,5160,36120
12/21/2020,5160,41280,5160,41280,5160,41280
12/22/2020,5160,46440,5160,46440,5160,46440
12/23/2020,5160,51600,5160,51600,5160,51600
12/24/2020,5160,56760,5160,56760,5160,56760
12/25/2020,5160,61920,5160,61920,5160,61920
12/26/2020,5160,67080,5160,67080,5160,67080
12/27/2020,5160,72240,5160,72240,5160,72240
12/28/2020,5160,77400,5160,77400,5160,77400
12/29/2020,5160,82560,5160,82560,5160,82560
12/30/2020,5160,87720,5160,87720,5160,87720
12/31/2020,5160,92880,5160,92880,5160,92880
1/1/2021,5160,98040,5160,98040,5160,98040
1/2/2021,5160,103200,5160,103200,5160,103200
1/3/2021,5160,108360,5160,108360,5160,108360
1/4/2021,5160,113520,5160,113520,5160,113520
1/5/2021,5160,118680,5160,118680,5160,118680
1/6/2021,5160,123840,5160,123840,5160,123840
1/7/2021,5160,129000,5160,129000,5160,129000
1/8/2021,5160,134160,5160,134160,5160,134160
1/9/2021,5160,139320,5160,139320,5160,139320
1/10/2021,5160,144480,5160,144480,5160,144480
1/11/2021,5160,149640,5160,149640,5160,149640
1/12/2021,5267,154907,5267,154907,5267,154907
1/13/2021,10000,164907,10000,164907,10000,164907
1/14/2021,13508,178415,13508,178415,13508,178415
1/15/2021,16805,195220,16805,195220,16805,195220
1/16/2021,21400,216620,21400,216620,21400,216620
1/17/2021,7120,223740,7120,223740,7120,223740
1/18/2021,9569,233309,9569,233309,9569,233309
1/19/2021,8992,242301,8992,242301,8992,242301
1/20/2021,8992,251293,8992,251293,8992,251293
1/21/2021,12801,264094,12801,264094,12801,264094
1/22/2021,16675,280769,16675,280769,16675,280769
1/23/2021,27697,308466,27697,308466,27697,308466
1/24/2021,10541,319007,10541,319007,10541,319007
1/25/2021,11702,330709,11702,330709,11702,330709
1/26/2021,10000,340709,10000,340709,10000,340709
1/27/2021,10000,350709,10000,350709,10000,350709
1/28/2021,10000,360709,10000,360709,10000,360709
1/29/2021,10000,370709,10000,370709,10000,370709
1/30/2021,10000,380709,10000,380709,10000,380709
1/31/2021,10000,390709,10000,390709,10000,390709
2/1/2021,10000,400709,11000,401709,11000,401709
2/2/2021,10000,410709,12000,413709,12000,413709
2/3/2021,10000,420709,13000,426709,13000,426709
2/4/2021,10000,430709,14000,440709,14000,440709
2/5/2021,10000,440709,15000,455709,15000,455709
2/6/2021,10000,450709,16000,471709,16000,471709
2/7/2021,10000,460709,17000,488709,17000,488709
2/8/2021,10000,470709,18000,506709,18000,506709
2/9/2021,10000,480709,19000,525709,19000,525709
2/10/2021,10000,490709,20000,545709,20000,545709
2/11/2021,10000,500709,21000,566709,21000,566709
2/12/2021,10000,510709,22000,588709,22000,588709
2/13/2021,10000,520709,23000,611709,23000,611709
2/14/2021,10000,530709,24000,635709,24000,635709
