Date,Baseline,BaselineTotal,High,HighTotal
12/14/2020,2,2,2,2
12/15/2020,7,9,7,9
12/16/2020,523,532,523,532
12/17/2020,1015,1547,1015,1547
12/18/2020,2821,4368,2821,4368
12/19/2020,839,5207,839,5207
12/20/2020,263,5470,263,5470
12/21/2020,3668,9138,3668,9138
12/22/2020,6012,15150,6012,15150
12/23/2020,5376,20526,5376,20526
12/24/2020,2615,23141,2615,23141
12/25/2020,1029,24170,1029,24170
12/26/2020,1598,25768,1598,25768
12/27/2020,1725,27493,1725,27493
12/28/2020,8478,35971,8478,35971
12/29/2020,10172,46143,10172,46143
12/30/2020,11965,58108,11965,58108
12/31/2020,7227,65335,7227,65335
1/1/2021,1180,66515,1180,66515
1/2/2021,2470,68985,2470,68985
1/3/2021,3067,72052,3067,72052
1/4/2021,12604,84656,12604,84656
1/5/2021,11488,96144,11488,96144
1/6/2021,13981,110125,13981,110125
1/7/2021,14412,124537,14412,124537
1/8/2021,23268,147805,23268,147805
1/9/2021,4589,152394,4589,152394
1/10/2021,2521,154915,2521,154915
1/11/2021,12997,167912,12997,167912
1/12/2021,16427,184339,16427,184339
1/13/2021,17437,201776,17437,201776
1/14/2021,16805,218581,16805,218581
1/15/2021,18368,236949,18368,236949
1/16/2021,5219,242168,5219,242168
1/17/2021,1952,244120,1952,244120
1/18/2021,6965,251085,6965,251085
1/19/2021,9903,260988,9903,260988
1/20/2021,19402,280390,19402,280390
1/21/2021,21783,302173,21783,302173
1/22/2021,26842,329015,26842,329015
1/23/2021,6879,335894,6879,335894
1/24/2021,1461,337355,1461,337355
1/25/2021,10655,348010,10655,348010
1/26/2021,10000,358010,10000,358010
1/27/2021,10000,368010,10000,368010
1/28/2021,10000,378010,10000,378010
1/29/2021,10000,388010,10000,388010
1/30/2021,10000,398010,10000,398010
1/31/2021,10000,408010,10000,408010
2/1/2021,10000,418010,11000,419010
2/2/2021,10000,428010,12000,431010
2/3/2021,10000,438010,13000,444010
2/4/2021,10000,448010,14000,458010
2/5/2021,10000,458010,15000,473010
2/6/2021,10000,468010,16000,489010
2/7/2021,10000,478010,17000,506010
2/8/2021,10000,488010,18000,524010
2/9/2021,10000,498010,19000,543010
2/10/2021,10000,508010,20000,563010
2/11/2021,10000,518010,21000,584010
2/12/2021,10000,528010,22000,606010
2/13/2021,10000,538010,23000,629010
2/14/2021,10000,548010,24000,653010
2/15/2021,10000,558010,25000,678010
2/16/2021,10000,568010,25000,703010
2/17/2021,10000,578010,25000,728010
2/18/2021,10000,588010,25000,753010
2/19/2021,10000,598010,25000,778010
2/20/2021,10000,608010,25000,803010
2/21/2021,10000,618010,25000,828010
2/22/2021,10000,628010,25000,853010
2/23/2021,10000,638010,25000,878010
2/24/2021,10000,648010,25000,903010
2/25/2021,10000,658010,25000,928010
2/26/2021,10000,668010,25000,953010
2/27/2021,10000,678010,25000,978010
2/28/2021,10000,688010,25000,1003010
3/1/2021,10000,698010,25000,1028010
3/2/2021,10000,708010,25000,1053010
3/3/2021,10000,718010,25000,1078010
3/4/2021,10000,728010,25000,1103010
3/5/2021,10000,738010,25000,1128010
3/6/2021,10000,748010,25000,1153010
3/7/2021,10000,758010,25000,1178010
3/8/2021,10000,768010,25000,1203010
3/9/2021,10000,778010,25000,1228010
3/10/2021,10000,788010,25000,1253010
3/11/2021,10000,798010,25000,1278010
3/12/2021,10000,808010,25000,1303010
3/13/2021,10000,818010,25000,1328010
3/14/2021,10000,828010,25000,1353010
3/15/2021,10000,838010,25000,1378010
3/16/2021,10000,848010,25000,1403010
3/17/2021,10000,858010,25000,1428010
3/18/2021,10000,868010,25000,1453010
3/19/2021,10000,878010,25000,1478010
3/20/2021,10000,888010,25000,1503010
3/21/2021,10000,898010,25000,1528010
3/22/2021,10000,908010,25000,1553010
3/23/2021,10000,918010,25000,1578010
3/24/2021,10000,928010,25000,1603010
3/25/2021,10000,938010,25000,1628010
3/26/2021,10000,948010,25000,1653010
3/27/2021,10000,958010,25000,1678010
3/28/2021,10000,968010,25000,1703010
3/29/2021,10000,978010,25000,1728010
3/30/2021,10000,988010,25000,1753010
3/31/2021,10000,998010,25000,1778010
4/1/2021,10000,1008010,25000,1803010
4/2/2021,10000,1018010,25000,1828010
4/3/2021,10000,1028010,25000,1853010
4/4/2021,10000,1038010,25000,1878010
4/5/2021,10000,1048010,25000,1903010
4/6/2021,10000,1058010,25000,1928010
4/7/2021,10000,1068010,25000,1953010
4/8/2021,10000,1078010,25000,1978010
4/9/2021,10000,1088010,25000,2003010
4/10/2021,10000,1098010,25000,2028010
4/11/2021,10000,1108010,25000,2053010
4/12/2021,10000,1118010,25000,2078010
4/13/2021,10000,1128010,25000,2103010
4/14/2021,10000,1138010,25000,2128010
4/15/2021,10000,1148010,25000,2153010
4/16/2021,10000,1158010,25000,2178010
4/17/2021,10000,1168010,25000,2203010
4/18/2021,10000,1178010,25000,2228010
4/19/2021,10000,1188010,25000,2253010
4/20/2021,10000,1198010,25000,2278010
4/21/2021,10000,1208010,25000,2303010
4/22/2021,10000,1218010,25000,2328010
4/23/2021,10000,1228010,25000,2353010
4/24/2021,10000,1238010,25000,2378010
4/25/2021,10000,1248010,25000,2403010
4/26/2021,10000,1258010,25000,2428010
4/27/2021,10000,1268010,25000,2453010
4/28/2021,10000,1278010,25000,2478010
4/29/2021,10000,1288010,25000,2503010
4/30/2021,10000,1298010,25000,2528010
5/1/2021,10000,1308010,25000,2553010
5/2/2021,10000,1318010,25000,2578010
5/3/2021,10000,1328010,25000,2603010
5/4/2021,10000,1338010,25000,2628010
5/5/2021,10000,1348010,25000,2653010
5/6/2021,10000,1358010,25000,2678010
5/7/2021,10000,1368010,25000,2703010
5/8/2021,10000,1378010,25000,2728010
5/9/2021,10000,1388010,25000,2753010
5/10/2021,10000,1398010,25000,2778010
5/11/2021,10000,1408010,25000,2803010
5/12/2021,10000,1418010,25000,2828010
5/13/2021,10000,1428010,25000,2853010
5/14/2021,10000,1438010,25000,2878010
5/15/2021,10000,1448010,25000,2903010
5/16/2021,10000,1458010,25000,2928010
5/17/2021,10000,1468010,25000,2953010
5/18/2021,10000,1478010,25000,2978010
5/19/2021,10000,1488010,25000,3003010
5/20/2021,10000,1498010,25000,3028010
5/21/2021,10000,1508010,25000,3053010
5/22/2021,10000,1518010,25000,3078010
5/23/2021,10000,1528010,25000,3103010
5/24/2021,10000,1538010,25000,3128010
5/25/2021,10000,1548010,25000,3153010
5/26/2021,10000,1558010,25000,3178010
5/27/2021,10000,1568010,25000,3203010
5/28/2021,10000,1578010,25000,3228010
5/29/2021,10000,1588010,25000,3253010
5/30/2021,10000,1598010,25000,3278010
5/31/2021,10000,1608010,25000,3303010
6/1/2021,10000,1618010,25000,3328010
6/2/2021,10000,1628010,25000,3353010
6/3/2021,10000,1638010,25000,3378010
6/4/2021,10000,1648010,25000,3403010
6/5/2021,10000,1658010,25000,3428010
6/6/2021,10000,1668010,25000,3453010
6/7/2021,10000,1678010,25000,3478010
6/8/2021,10000,1688010,25000,3503010
6/9/2021,10000,1698010,25000,3528010
6/10/2021,10000,1708010,25000,3553010
6/11/2021,10000,1718010,25000,3578010
6/12/2021,10000,1728010,25000,3603010
6/13/2021,10000,1738010,25000,3628010
6/14/2021,10000,1748010,25000,3653010
6/15/2021,10000,1758010,25000,3678010
6/16/2021,10000,1768010,25000,3703010
6/17/2021,10000,1778010,25000,3728010
6/18/2021,10000,1788010,25000,3753010
6/19/2021,10000,1798010,25000,3778010
6/20/2021,10000,1808010,25000,3803010
6/21/2021,10000,1818010,25000,3828010
6/22/2021,10000,1828010,25000,3853010
6/23/2021,10000,1838010,25000,3878010
6/24/2021,10000,1848010,25000,3903010
6/25/2021,10000,1858010,25000,3928010
6/26/2021,10000,1868010,25000,3953010
6/27/2021,10000,1878010,25000,3978010
6/28/2021,10000,1888010,25000,4003010
6/29/2021,10000,1898010,25000,4028010
6/30/2021,10000,1908010,25000,4053010
