ReportDate,hospitalizations,cases,deaths
3/26/2020,108,580,0
3/27/2020,146,774,0
3/28/2020,185,992,0
3/29/2020,212,1239,0
3/30/2020,260,1413,0
3/31/2020,308,1660,2
4/1/2020,402,1985,7
4/2/2020,425,2331,23
4/3/2020,447,2758,42
4/4/2020,605,3125,53
4/5/2020,559,3609,67
4/6/2020,770,4045,91
4/7/2020,801,4371,103
4/8/2020,848,5529,124
4/9/2020,924,6185,138
4/10/2020,918,6968,171
4/11/2020,1020,7694,206
4/12/2020,1019,8225,235
4/13/2020,1071,8936,262
4/14/2020,1079,9472,302
4/15/2020,1156,10032,349
4/16/2020,1219,10784,392
4/17/2020,1201,11572,425
4/18/2020,1288,12308,463
4/19/2020,1289,12830,486
4/20/2020,1340,13684,516
4/21/2020,1433,14193,584
4/22/2020,1432,14775,631
4/23/2020,1405,15737,680
4/24/2020,1425,16616,723
4/25/2020,1408,17766,797
4/26/2020,1463,18581,827
4/27/2020,1513,19487,858
4/28/2020,1528,20113,929
4/29/2020,1645,20849,985
4/30/2020,1711,21742,1047
5/1/2020,1668,23472,1098
5/2/2020,1657,24473,1156
5/3/2020,1635,25462,1182
5/4/2020,1649,26408,1216
5/5/2020,1693,27117,1290
5/6/2020,1707,28163,1338
5/7/2020,1683,29374,1401
5/8/2020,1674,30485,1453
5/9/2020,1665,31534,1510
5/10/2020,1640,32587,1538
5/11/2020,1544,33373,1573
5/12/2020,1563,34061,1643
5/13/2020,1550,34812,1694
5/14/2020,1538,35903,1748
5/15/2020,1496,36986,1792
5/16/2020,1500,37968,1842
5/17/2020,1460,38804,1876
5/18/2020,1447,39762,1903
5/19/2020,1421,41546,1963
5/20/2020,1410,42323,2004
5/21/2020,1374,43531,2045
5/22/2020,1329,44424,2092
5/23/2020,1320,45495,2130
5/24/2020,1290,46313,2162
5/25/2020,1279,47152,2187
5/26/2020,1315,47687,2217
5/27/2020,1338,48423,2270
5/28/2020,1334,49709,2307
5/29/2020,1296,50988,2348
5/30/2020,1239,52015,2390
5/31/2020,1183,52778,2411
6/1/2020,1174,53327,2431
6/2/2020,1148,54175,2474
6/3/2020,1113,54982,2519
6/4/2020,1096,55858,2546
6/5/2020,1076,56770,2580
6/6/2020,1059,57482,2616
6/7/2020,1003,57973,2625
6/8/2020,979,58404,2653
6/9/2020,970,58904,2686
6/10/2020,955,59465,2719
6/11/2020,902,60197,2750
6/12/2020,836,60613,2773
6/13/2020,799,61305,2799
6/14/2020,751,61701,2811
6/15/2020,745,62032,2817
6/16/2020,742,62409,2851
6/17/2020,702,62969,2866
6/18/2020,660,63229,2886
6/19/2020,648,63548,2901
6/20/2020,644,63956,2923
6/21/2020,608,64306,2937
6/22/2020,602,64603,2945
6/23/2020,561,65007,2963
6/24/2020,544,65337,2978
6/25/2020,511,65777,3001
6/26/2020,487,66115,3015
6/27/2020,478,66450,3030
6/28/2020,446,66777,3042
6/29/2020,447,67254,3048
6/30/2020,452,67559,3062
7/1/2020,461,67918,3077
7/2/2020,441,68423,3086
7/3/2020,422,68961,3099
7/4/2020,410,69341,3111
7/5/2020,409,69632,3118
7/6/2020,403,69904,3121
7/7/2020,404,70396,3140
7/8/2020,398,70861,3149
7/9/2020,406,71447,3160
7/10/2020,385,71910,3172
7/11/2020,390,72467,3179
7/12/2020,392,73109,3188
7/13/2020,386,73527,3194
7/14/2020,415,74260,3202
7/15/2020,447,75016,3209
7/16/2020,436,75664,3215
7/17/2020,434,76371,3227
7/18/2020,448,77206,3238
7/19/2020,449,78131,3247
7/20/2020,463,78685,3252
7/21/2020,484,79545,3272
7/22/2020,505,80172,3276
7/23/2020,528,80836,3281
7/24/2020,533,81766,3293
7/25/2020,545,83054,3304
7/26/2020,540,83748,3309
7/27/2020,536,84876,3315
7/28/2020,542,85524,3327
7/29/2020,571,86285,3347
7/30/2020,585,87177,3357
7/31/2020,590,88346,3362
8/1/2020,592,89365,3374
8/2/2020,553,90274,3381
8/3/2020,548,91144,3389
8/4/2020,547,91854,3396
8/5/2020,555,92426,3402
8/6/2020,535,93005,3415
8/7/2020,528,93806,3429
8/8/2020,515,94581,3440
8/9/2020,525,95503,3448
8/10/2020,534,96258,3454
8/11/2020,529,96843,3467
8/12/2020,488,97384,3474
8/13/2020,470,98160,3483
8/14/2020,457,98875,3495
8/15/2020,460,99693,3499
8/16/2020,475,100212,3502
8/17/2020,435,100715,3504
8/18/2020,453,101235,3511
8/19/2020,475,101649,3522
8/20/2020,455,102229,3531
8/21/2020,455,102899,3536
8/22/2020,441,103523,3546
8/23/2020,407,104102,3552
8/24/2020,407,104669,3554
8/25/2020,411,105046,3564
8/26/2020,432,105486,3574
8/27/2020,412,106063,3580
8/28/2020,412,106664,3593
8/29/2020,387,107294,3603
8/30/2020,358,107791,3609
8/31/2020,377,108249,3612
9/1/2020,385,108863,3617
9/2/2020,370,109319,3623
9/3/2020,382,110012,3634
9/4/2020,395,110831,3645
9/5/2020,353,111607,3652
9/6/2020,341,112119,3655
9/7/2020,362,112883,3660
9/8/2020,365,113239,3663
9/9/2020,370,113575,3672
9/10/2020,358,114078,3679
9/11/2020,369,114724,3685
9/12/2020,361,115533,3693
9/13/2020,351,116110,3695
9/14/2020,347,116646,3696
9/15/2020,371,117245,3706
9/16/2020,347,117888,3712
9/17/2020,353,118519,3717
9/18/2020,347,119062,3724
9/19/2020,324,119744,3732
9/20/2020,281,120156,3735
9/21/2020,290,120568,3739
9/22/2020,309,120912,3748
9/23/2020,332,121297,3756
9/24/2020,349,121800,3765
9/25/2020,344,122359,3772
9/26/2020,347,122972,3780
9/27/2020,328,123403,3790
9/28/2020,315,123880,3793
9/29/2020,344,124311,3802
9/30/2020,334,124725,3805
10/1/2020,331,125510,3805
10/2/2020,323,126222,3806
10/3/2020,323,126819,3813
10/4/2020,320,127290,3814
10/5/2020,338,127791,3817
10/6/2020,360,128204,3823
10/7/2020,391,128664,3829
10/8/2020,403,129425,3835
10/9/2020,391,130159,3845
10/10/2020,383,130795,3850
10/11/2020,393,131357,3854
10/12/2020,384,131861,3859
10/13/2020,402,132343,3868
10/14/2020,417,132918,3877
10/15/2020,412,133548,3883
10/16/2020,416,134329,3887
10/17/2020,422,135127,3891
10/18/2020,433,135657,3891
10/19/2020,434,136154,3895
10/20/2020,464,136744,3904
10/21/2020,463,137236,3912
10/22/2020,458,137979,3924
10/23/2020,458,138691,3932
10/24/2020,455,139487,3945
10/25/2020,446,140279,3950
10/26/2020,456,140844,3953
