InterventionName,type,SchoolCloseDate,SchoolCloseReductionPer,SchoolOpenDate,SchoolOpenReductionAmt,InterventionStartReductionDate,InterventionReductionPerMin,InterventionReductionPerMax,InterventionReductionPerLowMin,InterventionReductionPerLowMax,InterventionStartReductionDateCalcDays,InterventionStartEndLift,InterventionStartEndLiftCalcDays,InterventionEndPerIncrease,InterventionMobilityEffect,QuarantineType,PerFollowQuarantine,QuarantineStartDate,TestingAvailabilityDateHosp,TestingAvailabilityDateComm,finaldate,ContactTracing,testExtra,TimeToFindContactsLow,TimeToFindContactsHigh,UseCountyLevel,CountyEncountersFile,AdjustPopDensity,TestIncreaseLow,TestIncreaseHigh,Seasonality
distance.moderateslow,distance,3/13/2020,0.25,1/15/2021,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,9/7/2020,0.5,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0
distance.lowslow,distance,3/13/2020,0.25,1/15/2021,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0
distance.noslow,distance,3/13/2020,0.25,1/15/2021,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,1/15/2021,3/31/2021,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0
distance.lowslowQuarantine90,distance,3/13/2020,0.25,1/15/2021,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,9/7/2020,0.25,0.75,household,0.9,6/27/2020,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0
distance.moderateslowSchool,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,9/7/2020,0.5,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0
distance.lowslowSchool,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0
distance.moderateslow,distance,3/13/2020,0.25,1/15/2021,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,9/7/2020,0.5,0.75,household,0.9,6/27/2020,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0
distance.lowslowQuarantineSchool90,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,9/7/2020,0.25,0.75,household,0.9,6/27/2020,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0
distance.lowslowQuarantineSchool75,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,9/7/2020,0.25,0.75,household,0.75,6/27/2020,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0
distance.lowslowQuarantineSchool50,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,9/7/2020,0.25,0.75,household,0.5,6/27/2020,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0
distance.lowslowQuarantineSchoolCTFast90,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,9/7/2020,0.25,0.75,household,0.9,6/27/2020,3/6/2020,4/1/2020,4/30/2021,1,0,12,24,0,,1,0.1,0.5,0
distance.lowslowQuarantineSchoolCTFast75,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,9/7/2020,0.25,0.75,household,0.75,6/27/2020,3/6/2020,4/1/2020,4/30/2021,1,0,12,24,0,,1,0.1,0.5,0
distance.lowslowQuarantineSchoolCTFast50,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,9/7/2020,0.25,0.75,household,0.5,6/27/2020,3/6/2020,4/1/2020,4/30/2021,1,0,12,24,0,,1,0.1,0.5,0
distance.lowslowQuarantineSchoolCTSlow90,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,9/7/2020,0.25,0.75,household,0.9,6/27/2020,3/6/2020,4/1/2020,4/30/2021,1,0,48,72,0,,1,0.1,0.5,0
distance.lowslowQuarantineSchoolCTSlow75,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,9/7/2020,0.25,0.75,household,0.75,6/27/2020,3/6/2020,4/1/2020,4/30/2021,1,0,48,72,0,,1,0.1,0.5,0
distance.lowslowQuarantineSchoolCTSlow50,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,9/7/2020,0.25,0.75,household,0.5,6/27/2020,3/6/2020,4/1/2020,4/30/2021,1,0,48,72,0,,1,0.1,0.5,0
