InterventionName,type,SchoolCloseDate,SchoolCloseReductionPer,SchoolOpenDate,SchoolOpenReductionAmt,InterventionStartReductionDate,InterventionReductionPerMin,InterventionReductionPerMax,InterventionReductionPerLowMin,InterventionReductionPerLowMax,InterventionStartReductionDateCalcDays,InterventionStartEndLift,InterventionStartEndLiftCalcDays,InterventionEndPerIncrease,InterventionMobilityEffect,QuarantineType,PerFollowQuarantine,QuarantineStartDate,TestingAvailabilityDateHosp,TestingAvailabilityDateComm,finaldate,ContactTracing,testExtra,TimeToFindContactsLow,TimeToFindContactsHigh,UseCountyLevel,CountyEncountersFile,AdjustPopDensity,TestIncreaseLow,TestIncreaseHigh,Seasonality,OldAgeRestriction,OldAgeReduction,GatheringRestriction,GatheringMax
distance.Distance50Fast,distance,3/13/2020,0.25,3/31/2021,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,9/7/2020,0.5,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,0,,0,
distance.Distance50FastOld25,distance,3/13/2020,0.25,3/31/2021,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,9/7/2020,0.5,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,1,0.75,0,
distance.Distance50FastOld10,distance,3/13/2020,0.25,3/31/2021,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,9/7/2020,0.5,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,1,0.9,0,
distance.Distance50FastOld05,distance,3/13/2020,0.25,3/31/2021,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,9/7/2020,0.5,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,1,0.95,0,
distance.Distance50SchoolFast,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,9/7/2020,0.5,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,0,,0,
distance.Distance50FastSchoolOld25,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,9/7/2020,0.5,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,1,0.75,0,
distance.Distance50FastSchoolOld10,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,9/7/2020,0.5,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,1,0.9,0,
distance.Distance50FastSchoolOld05,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,9/7/2020,0.5,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,1,0.95,0,
distance.Distance50FastG10,distance,3/13/2020,0.25,3/31/2021,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,9/7/2020,0.5,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,0,,1,10
distance.Distance50FastG25,distance,3/13/2020,0.25,3/31/2021,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,9/7/2020,0.5,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,0,,1,25
distance.Distance50FastG50,distance,3/13/2020,0.25,3/31/2021,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,9/7/2020,0.5,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,0,,1,50
distance.Distance50FastSchoolG10,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,9/7/2020,0.5,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,0,,1,10
distance.Distance50FastSchoolG25,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,9/7/2020,0.5,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,0,,1,25
distance.Distance50FastSchoolG50,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,9/7/2020,0.5,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,0,,1,50
