,George Washington University Hospital,Hadley Memorial Hospital,Howard University Hospital,MedStar Georgetown University ,Sibley Memorial Hospital,Providence Hospital,United Medical Center,MedStar Washington Hospital Center,Other D.C. Hospitals,Virginia,Meritus Medical Center,University of Maryland Medical Center,Prince George's Hospital Center,Holy Cross Hospital,Frederick Memorial Hospital,Mercy Medical Center,Johns Hopkins Hospital,Dorchester (UMSRH),St. Agnes Hospital,Sinai Hospital of Baltimore,White Oak Medical Center,Garrett Memorial Hospital (WVU),Montgomery Medical Center (MedStar),Peninsula Regional Medical Center,Suburban Hospital,Anne Arundel Medical Center,Union Memorial Hospital (MedStar),Western Maryland Medical Center (UPMC),St. Mary's Hospital,Johns Hopkins Bayview Medical Center,Chestertown (UMSRH),Carroll Hospital Center,Harbor Hospital (MedStar),Charles Regional (UM),Easton (UMSRH),UMM Center Midtown Campus (acute) (Formerly Maryland General),Calvert Memorial Hospital,Northwest Hospital,Baltimore Washington Medical Center,Greater Baltimore Medical Center,Howard County General Hospital (JHM),Doctors Community Hospital,Greater Laurel,Good Samaritan Hospital (MedStar),Shady Grove Adventist Hospital,Fort Washington Hospital,Atlantic General Hospital,Southern Maryland Hospital (MedStar),St. Joseph's (UM),Holy Cross Germantown,Queenstown Emergency Center,Franklin Square (MedStar),Grace Medical Center,Union Hospital of Cecil County,Upper Chesapeake Medical Center (UMUCH),Edward McCready Memorial Hospital,Harford Memorial Hospital (UMUCH)
20601,0,0,0,0,0,0,0,0,0,0,0,0,0.00257732,0.00257732,0,0.00257732,0,0,0,0,0,0,0,0.00257732,0.00257732,0.012886598,0,0,0.012886598,0,0.00257732,0,0,0.729381443,0,0,0.012886598,0,0.00257732,0,0.00257732,0.00257732,0,0,0,0.079896907,0,0.128865979,0,0,0,0,0,0,0,0,0
20602,0,0,0,0,0,0,0,0,0,0,0,0,0.001666667,0.001666667,0,0,0,0,0,0,0,0,0,0,0,0.006666667,0,0,0.013333333,0.001666667,0.001666667,0,0,0.865,0,0,0.01,0,0,0,0,0.003333333,0.001666667,0,0,0.03,0,0.063333333,0,0,0,0,0,0,0,0,0
20603,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,0,0,0.0075,0,0,0,0,0,0,0.0025,0,0.0075,0,0,0.005,0,0,0,0,0.805,0,0,0.0025,0,0,0,0,0.0025,0,0,0,0.0875,0,0.0725,0.0025,0,0,0,0,0,0,0,0
20606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0.5,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20607,0,0,0,0,0,0,0,0,0,0,0,0,0.0078125,0.0078125,0,0,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0.0078125,0,0,0,0.1640625,0,0,0,0,0,0,0,0.015625,0,0,0,0.7109375,0,0.0703125,0,0,0,0.0078125,0,0,0,0,0
20608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0.4,0,0,0.4,0,0,0,0,0,0,0,0,0.066666667,0,0.066666667,0,0,0,0,0,0,0,0,0
20609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045454545,0,0,0.045454545,0,0,0,0,0.863636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045454545,0,0,0,0,0
20612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20613,0,0,0,0,0,0,0,0,0,0,0,0,0.012121212,0,0,0,0.006060606,0,0,0,0,0,0,0,0,0.03030303,0,0,0.012121212,0,0,0,0,0.345454545,0,0,0.036363636,0,0,0,0.006060606,0.012121212,0,0,0,0.151515152,0,0.387878788,0,0,0,0,0,0,0,0,0
