HOSPID,ProviderNames,FacilityType
210001,Meritus Health System (Wash. Co.),Acute Hospitals
210002,University of Maryland,Acute Hospitals
210003,Prince George’s,Acute Hospitals
210004,Holy Cross Hospital,Acute Hospitals
210005,Frederick Memorial,Acute Hospitals
210006,Harford Memorial Hospital,Acute Hospitals
210008,Mercy Medical Center,Acute Hospitals
210009,Johns Hopkins,Acute Hospitals
210010,UM Shore Medical Center at Dorchester ,Acute Hospitals
210011,St. Agnes Hospital,Acute Hospitals
210012,Lifebridge Sinai Hospital,Acute Hospitals
210013,Bon Secours ,Acute Hospitals
210015,MedStar Franklin Square,Acute Hospitals
210016,Washington Adventist,Acute Hospitals
210017,Garrett County,Acute Hospitals
210018,MedStar Montgomery General,Acute Hospitals
210019,Peninsula Regional,Acute Hospitals
210022,Suburban Hospital,Acute Hospitals
210023,Anne Arundel Medical Center,Acute Hospitals
210024,MedStar Union Memorial,Acute Hospitals
210027,Western MD Health System ,Acute Hospitals
210028,MedStar Saint Mary’s Hospital,Acute Hospitals
210029,Johns Hopkins Bayview (acute),Acute Hospitals
210030,UM Shore Medical Center Chestertown (Formerly Chester River),Acute Hospitals
210032,Union of Cecil,Acute Hospitals
210033,Carroll County General,Acute Hospitals
210034,MedStar Harbor Hospital,Acute Hospitals
210035,UM Charles Regional Medical Center (Formerly Civista),Acute Hospitals
210037,UM Shore Medical Center at Easton ,Acute Hospitals
210038,UMM Center Midtown Campus (acute) (Formerly Maryland General),Acute Hospitals
210039,Calvert Memorial,Acute Hospitals
210040,Lifebridge Northwest Hospital,Acute Hospitals
210043,UM Baltimore Washington Medical Center,Acute Hospitals
210044,Greater Baltimore Medical Center,Acute Hospitals
210045,McCready,Acute Hospitals
210048,Howard General Hospital,Acute Hospitals
210049,Upper Chesapeake Medical Center,Acute Hospitals
210051,Doctors Community Hospital,Acute Hospitals
210055,Greater Laurel,Acute Hospitals
210056,MedStar Good Samaritan,Acute Hospitals
210057,Shady Grove Adventist,Acute Hospitals
210058,UM Rehab & Orthopaedic Institute (acute) (Formerly Kernan),Acute Hospitals
210060,Fort Washington,Acute Hospitals
210061,Atlantic General,Acute Hospitals
210062,MedStar Southern Maryland (Formerly 210054),Acute Hospitals
210063,UM Saint Joseph (Formerly 210007),Acute Hospitals
210065,Holy Cross Hospital- Germantown,Acute Hospitals
210087,Germantown Freestanding ER,Acute Hospitals
210088,Queens Anne’s Freestanding ER,Acute Hospitals
210904,Hopkins Oncology,Acute Hospitals
218992,University of Maryland Shock Trauma,Acute Hospitals
218994,University of Maryland Cancer Center,Acute Hospitals
210055,Greater Laurel Hospital (Formerly Gladys Spellman),Chronic Hospitals
210064,Lifebridge Levindale (Formerly 212005),Chronic Hospitals
212007,University Specialty (Closed July 2012),Chronic Hospitals
