STATEFP,COUNTYFP,STNAME,CTYNAME,NAMELSAD,population,Longitude,Latitude
31,39,Nebraska,Cuming County,Cuming County,8940,-96.78740041,41.91640283
53,69,Washington,Wahkiakum County,Wahkiakum County,4426,-123.4334699,46.29113382
35,11,New Mexico,De Baca County,De Baca County,1781,-104.4119579,34.34241351
31,109,Nebraska,Lancaster County,Lancaster County,317272,-96.68775551,40.78417355
31,129,Nebraska,Nuckolls County,Nuckolls County,4195,-98.04718499,40.17637963
72,85,NA,NA,Las Piedras Municipio,NA,-65.86931741,18.18752652
46,99,South Dakota,Minnehaha County,Minnehaha County,192876,-96.79143651,43.67417823
48,327,Texas,Menard County,Menard County,2139,-99.82063586,30.88978201
6,91,California,Sierra County,Sierra County,2987,-120.5159964,39.5804001
21,53,Kentucky,Clinton County,Clinton County,10206,-85.13601356,36.72748163
39,63,Ohio,Hancock County,Hancock County,75930,-83.66653581,41.00193524
48,189,Texas,Hale County,Hale County,33830,-101.8268813,34.07051251
1,27,Alabama,Clay County,Clay County,13275,-85.86054708,33.26908587
48,11,Texas,Armstrong County,Armstrong County,1892,-101.3574043,34.96492559
39,3,Ohio,Allen County,Allen County,102663,-84.10577931,40.77152105
13,189,Georgia,McDuffie County,McDuffie County,21531,-82.48137055,33.48285547
55,111,Wisconsin,Sauk County,Sauk County,64249,-89.94821667,43.42666339
5,137,Arkansas,Stone County,Stone County,12457,-92.15668358,35.85986618
41,63,Oregon,Wallowa County,Wallowa County,7081,-117.18102,45.5798653
42,7,Pennsylvania,Beaver County,Beaver County,164742,-80.34928728,40.68226295
28,61,Mississippi,Jasper County,Jasper County,16428,-89.11885982,32.01911274
29,83,Missouri,Henry County,Henry County,21792,-93.79275003,38.38516302
8,109,Colorado,Saguache County,Saguache County,6843,-106.2815556,38.08055276
37,37,North Carolina,Chatham County,Chatham County,73139,-79.25527586,35.70257213
49,33,Utah,Rich County,Rich County,2464,-111.2445098,41.63225343
40,1,Oklahoma,Adair County,Adair County,22082,-94.65867922,35.88392784
39,85,Ohio,Lake County,Lake County,230514,-81.25093924,41.91035213
51,775,Virginia,Salem city,Salem city,25643,-80.05547656,37.28640043
51,121,Virginia,Montgomery County,Montgomery County,98985,-80.38721543,37.17429064
47,65,Tennessee,Hamilton County,Hamilton County,364286,-85.1647899,35.18085525
35,35,New Mexico,Otero County,Otero County,66781,-105.7414426,32.61314468
35,3,New Mexico,Catron County,Catron County,3578,-108.4047624,33.91535189
