statefp,COUNTYFP,stname,ctyname,namelsad,POPULATION,Longitude,Latitude,name,BAProportion,NursingCareFacilities,AssistedLivingFacilities,physiciansoffices,kidneydialysiscenters,medsurgehospitals,LTCF,HealthcareWorkerPercent,AREALAND,SQ_KM,SQMI,STCOUNTYFP
1,1,Alabama,Autauga County,Autauga County,55601,-86.642754,32.53492,"Autauga County, Alabama",0.25622147,0,0,23,3,0,0,0.046851676,1539602155,1539.602155,594.4437154,1001
1,3,Alabama,Baldwin County,Baldwin County,218022,-87.749847,30.660975,"Baldwin County, Alabama",0.29201502,5,7,139,8,3,12,0.052049793,4117625664,4117.625664,1589.824157,1003
1,5,Alabama,Barbour County,Barbour County,24881,-85.393196,31.869604,"Barbour County, Alabama",0.11240539,0,0,9,3,0,0,0.030786544,2292160140,2292.16014,885.0079778,1005
1,7,Alabama,Bibb County,Bibb County,22400,-87.126442,32.998646,"Bibb County, Alabama",0.10264159,0,0,4,0,0,0,0.048705358,1612159622,1612.159622,622.45831,1007
1,9,Alabama,Blount County,Blount County,57840,-86.567368,33.980869,"Blount County, Alabama",0.11680286,0,3,11,0,0,3,0.049291149,1670127873,1670.127873,644.8399768,1009
1,11,Alabama,Bullock County,Bullock County,10138,-85.715698,32.100555,"Bullock County, Alabama",0.12131187,0,0,0,0,0,0,0.025054252,1613077726,1613.077726,622.8127919,1011
1,13,Alabama,Butler County,Butler County,19680,-86.68029,31.752434,"Butler County, Alabama",0.14690472,0,4,9,0,0,4,0.051981706,2012002543,2012.002543,776.8385249,1013
1,15,Alabama,Calhoun County,Calhoun County,114277,-85.826035,33.771427,"Calhoun County, Alabama",0.16647017,3,4,86,4,3,7,0.054437902,1569244611,1569.244611,605.8887316,1015
1,17,Alabama,Chambers County,Chambers County,33615,-85.392044,32.914371,"Chambers County, Alabama",0.12087993,3,0,14,3,0,3,0.05211959,1545085605,1545.085605,596.5608872,1017
1,19,Alabama,Cherokee County,Cherokee County,26032,-85.60379,34.175957,"Cherokee County, Alabama",0.12228326,0,0,7,0,0,0,0.059426859,1433620856,1433.620856,553.524107,1019
1,21,Alabama,Chilton County,Chilton County,44153,-86.718811,32.847855,"Chilton County, Alabama",0.12958568,0,3,16,0,0,3,0.038615722,1794477100,1794.4771,692.8514818,1021
1,23,Alabama,Choctaw County,Choctaw County,12841,-88.263199,32.019611,"Choctaw County, Alabama",0.11856116,0,0,0,0,0,0,0.046491705,2365869840,2365.86984,913.4674521,1023
1,25,Alabama,Clarke County,Clarke County,23920,-87.830811,31.676659,"Clarke County, Alabama",0.11432782,0,0,10,0,0,0,0.040551841,3207494104,3207.494104,1238.420397,1025
1,27,Alabama,Clay County,Clay County,13275,-85.86055,33.269085,"Clay County, Alabama",0.089402407,0,0,5,0,0,0,0.052429378,1564251834,1564.251834,603.9610096,1027
1,29,Alabama,Cleburne County,Cleburne County,14987,-85.518768,33.674557,"Cleburne County, Alabama",0.12617391,0,0,0,0,0,0,0.038833655,1450666275,1450.666275,560.1053801,1029
1,31,Alabama,Coffee County,Coffee County,51909,-85.988205,31.402628,"Coffee County, Alabama",0.2183914,0,3,26,3,0,3,0.056406405,1758565924,1758.565924,678.9860992,1031
1,33,Alabama,Colbert County,Colbert County,54762,-87.804985,34.700436,"Colbert County, Alabama",0.17324597,3,0,38,0,0,3,0.05602425,1535200704,1535.200704,592.7443056,1033
1,35,Alabama,Conecuh County,Conecuh County,12277,-86.993675,31.429266,"Conecuh County, Alabama",0.096623749,0,0,4,0,0,0,0.038282968,2202029362,2202.029362,850.2082899,1035
1,37,Alabama,Coosa County,Coosa County,10715,-86.247658,32.936226,"Coosa County, Alabama",0.10805108,0,0,0,0,0,0,0.046663556,1685846937,1685.846937,650.9091414,1037
