  Day,Susceptible_DC,Incubating_DC,Infected_DC,Colonized_DC,Recovered_DC,Dead_DC,Hospitalized_DC,NewAdmissions_DC,EDVisits_DC,ICU_DC,Tests_DC,Quarantined_DC,numHousholdQuarantined_DC,InfectiousEventsPrevented_DC,confirmedcases_DC,Susceptible_VA,Incubating_VA,Infected_VA,Colonized_VA,Recovered_VA,Dead_VA,Hospitalized_VA,NewAdmissions_VA,EDVisits_VA,ICU_VA,Tests_VA,Quarantined_VA,numHousholdQuarantined_VA,InfectiousEventsPrevented_VA,confirmedcases_VA,Susceptible_MD,Incubating_MD,Infected_MD,Colonized_MD,Recovered_MD,Dead_MD,Hospitalized_MD,NewAdmissions_MD,EDVisits_MD,ICU_MD,Tests_MD,Quarantined_MD,numHousholdQuarantined_MD,InfectiousEventsPrevented_MD,confirmedcases_MD,Susceptible,Incubating,Infected,Colonized,Recovered, Dead,Hospitalized,NewAdmissions,EDVisits,  ICU,Tests,Quarantined,numHousholdQuarantined,InfectiousEventsPrevented,confirmedcases,count
  1.0,687585.4, 0.56,  0.0, 0.04,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511755.6,  1.4,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116198.84, 2.72,  0.0, 0.44,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315539.84, 4.68,  0.0, 0.48,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 27.0
  2.0,687584.6,  1.2,  0.0,  0.2,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511753.8,  2.8,  0.0,  0.4,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116195.24, 5.12,  0.0, 1.64,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315533.64, 9.12,  0.0, 2.24,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 27.0
  3.0,687583.8,  1.6,  0.0,  0.6,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511751.88, 3.76, 0.04, 1.32,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116191.28, 7.96, 0.08, 2.64, 0.04,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315526.96,13.32, 0.12, 4.56, 0.04,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 27.0
  4.0,687583.2, 1.92,  0.0, 0.88,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511749.0, 5.32,  0.2, 2.48,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116185.72,10.84,  0.2, 4.96, 0.28,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315517.92,18.08,  0.4, 8.32, 0.28,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 27.0
  5.0,687581.92,  2.6, 0.08, 1.32, 0.08,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511745.76, 6.92, 0.36, 3.88, 0.08,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116178.52,14.76, 0.28, 7.84,  0.6,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315506.2,24.28, 0.72,13.04, 0.76,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 27.0
  6.0,687580.8, 2.92, 0.16, 2.04, 0.08,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511741.8,  8.8,  0.6, 5.48, 0.32,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116168.76,19.92, 0.56,11.44, 1.32,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315491.36,31.64, 1.32,18.96, 1.72,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 27.0
  7.0,687579.2, 3.56, 0.16, 2.84, 0.24,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511736.84, 11.4,  0.8, 6.88, 1.08,  0.0, 0.04, 0.04,  0.0, 0.04,  0.0,  0.0,  0.0,  0.0,  0.0,6116158.0,25.04, 0.96, 15.4,  2.6,  0.0, 0.04, 0.04, 0.04,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315474.04, 40.0, 1.92,25.12, 3.92,  0.0, 0.08, 0.08, 0.04, 0.04,  0.0,  0.0,  0.0,  0.0,  0.0, 27.0
  8.0,687576.56, 5.04, 0.36, 3.64,  0.4,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511730.68,13.88, 0.92, 9.56, 1.96,  0.0, 0.04,  0.0,  0.0, 0.04,  0.0,  0.0,  0.0,  0.0,  0.0,6116146.12,29.68, 1.48,20.48, 4.24,  0.0, 0.04,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315453.36, 48.6, 2.76,33.68,  6.6,  0.0, 0.08,  0.0,  0.0, 0.04,  0.0,  0.0,  0.0,  0.0,  0.0, 27.0
  9.0,687573.88, 6.28, 0.52, 4.44, 0.88,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511722.84,17.88,  1.4,11.92, 2.96,  0.0, 0.04,  0.0,  0.0, 0.04,  0.0,  0.0,  0.0,  0.0,  0.0,6116130.72, 36.2, 2.32,26.04, 6.72,  0.0, 0.04,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315427.44,60.36, 4.24, 42.4,10.56,  0.0, 0.08,  0.0,  0.0, 0.04,  0.0,  0.0,  0.0,  0.0,  0.0, 27.0
 10.0,687570.84, 7.28,  0.8, 5.76, 1.32,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511713.6,22.12, 1.76, 15.2, 4.32,  0.0, 0.12, 0.08,  0.0, 0.08,  0.0,  0.0,  0.0,  0.0,  0.0,6116112.96,42.32,  3.4,33.76, 9.56,  0.0, 0.04,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315397.4,71.72, 5.96,54.72, 15.2,  0.0, 0.16, 0.08,  0.0, 0.08,  0.0,  0.0,  0.0,  0.0,  0.0, 27.0
