  Day,Susceptible_DC,Incubating_DC,Infected_DC,Colonized_DC,Recovered_DC,Dead_DC,Hospitalized_DC,NewAdmissions_DC,EDVisits_DC,ICU_DC,Tests_DC,Quarantined_DC,numHousholdQuarantined_DC,InfectiousEventsPrevented_DC,confirmedcases_DC,Susceptible_VA,Incubating_VA,Infected_VA,Colonized_VA,Recovered_VA,Dead_VA,Hospitalized_VA,NewAdmissions_VA,EDVisits_VA,ICU_VA,Tests_VA,Quarantined_VA,numHousholdQuarantined_VA,InfectiousEventsPrevented_VA,confirmedcases_VA,Susceptible_MD,Incubating_MD,Infected_MD,Colonized_MD,Recovered_MD,Dead_MD,Hospitalized_MD,NewAdmissions_MD,EDVisits_MD,ICU_MD,Tests_MD,Quarantined_MD,numHousholdQuarantined_MD,InfectiousEventsPrevented_MD,confirmedcases_MD,Susceptible,Incubating,Infected,Colonized,Recovered, Dead,Hospitalized,NewAdmissions,EDVisits,  ICU,Tests,Quarantined,numHousholdQuarantined,InfectiousEventsPrevented,confirmedcases,count
  1.0,687585.6153846154,0.2692307692307692,  0.0,0.11538461538461539,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511755.3846153845,  1.5,  0.0,0.11538461538461539,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116198.807692308,2.6153846153846154,  0.0,0.5769230769230769,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315539.807692308,4.384615384615385,  0.0,0.8076923076923077,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 28.0
  2.0,687584.3846153846,1.4615384615384615,  0.0,0.15384615384615385,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511754.269230769,2.269230769230769,  0.0,0.46153846153846156,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116195.192307692,  5.0,0.038461538461538464,1.7692307692307692,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315533.846153846,8.73076923076923,0.038461538461538464,2.3846153846153846,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 28.0
  3.0,687584.0,1.6153846153846154,  0.0,0.34615384615384615,0.038461538461538464,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511752.0,3.6923076923076925,  0.0,1.2692307692307692,0.038461538461538464,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116190.307692308,8.23076923076923,0.11538461538461539,3.269230769230769,0.07692307692307693,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315526.307692308,13.538461538461538,0.11538461538461539,4.884615384615385,0.15384615384615385,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 28.0
  4.0,687583.1538461539,1.7692307692307692,  0.0,  1.0,0.07692307692307693,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511749.3076923075,5.230769230769231,  0.0,2.423076923076923,0.038461538461538464,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116184.461538462,11.346153846153847,0.19230769230769232,5.653846153846154,0.34615384615384615,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315516.923076924,18.346153846153847,0.19230769230769232,9.076923076923077,0.46153846153846156,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 28.0
  5.0,687581.8076923077,2.3846153846153846,0.11538461538461539,1.5384615384615385,0.15384615384615385,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511746.346153846,6.576923076923077,0.038461538461538464,3.769230769230769,0.2692307692307692,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116177.230769231,14.615384615384615,0.4230769230769231,8.807692307692308,0.9230769230769231,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315505.384615384,23.576923076923077,0.5769230769230769,14.115384615384615,1.3461538461538463,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 28.0
  6.0,687580.6153846154,2.730769230769231,0.23076923076923078,2.1538461538461537,0.2692307692307692,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511741.9615384615,8.961538461538462,0.34615384615384615,5.076923076923077,0.6538461538461539,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116168.076923077,19.23076923076923,0.6923076923076923,12.192307692307692,1.8076923076923077,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315490.653846154,30.923076923076923,1.2692307692307692,19.423076923076923,2.730769230769231,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 28.0
  7.0,687578.8846153846,3.6923076923076925,0.3076923076923077,2.5384615384615383,0.5769230769230769,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511737.769230769,10.423076923076923,0.8076923076923077,7.038461538461538,0.9615384615384616,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116156.115384615,24.576923076923077,1.2692307692307692,16.53846153846154,  3.5,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315472.76923077,38.69230769230769,2.3846153846153846,26.115384615384617,5.038461538461538,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 28.0
  8.0,687576.3076923077,  5.0,  0.5,3.4615384615384617,0.7307692307692307,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511730.9615384615, 14.0,1.0384615384615385,9.26923076923077,1.7307692307692308,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116143.846153846,29.03846153846154,2.1153846153846154, 21.5,  5.5,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315451.115384616,48.03846153846154,3.6538461538461537,34.23076923076923,7.961538461538462,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 28.0
  9.0,687574.0,6.038461538461538,0.6538461538461539,4.1923076923076925,1.1153846153846154,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511724.730769231,15.884615384615385,1.6538461538461537,11.923076923076923,2.8076923076923075,  0.0,  0.0,  0.0,0.07692307692307693,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116128.269230769,34.96153846153846,  3.0,27.423076923076923,8.346153846153847,  0.0,  0.0,  0.0,0.038461538461538464,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315427.0,56.88461538461539,5.3076923076923075,43.53846153846154,12.26923076923077,  0.0,  0.0,  0.0,0.11538461538461539,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 28.0
 10.0,687570.7307692308,7.230769230769231,0.8461538461538461,5.346153846153846,1.8461538461538463,  0.0,0.038461538461538464,0.038461538461538464,  0.0,0.038461538461538464,  0.0,  0.0,  0.0,  0.0,  0.0,2511717.3846153845,18.76923076923077,2.1538461538461537,14.038461538461538,4.653846153846154,  0.0,  0.0,  0.0,0.038461538461538464,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116109.653846154, 42.5,4.076923076923077,33.69230769230769,12.076923076923077,  0.0,  0.0,  0.0,0.15384615384615385,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315397.76923077, 68.5,7.076923076923077,53.07692307692308,18.576923076923077,  0.0,0.038461538461538464,0.038461538461538464,0.19230769230769232,0.038461538461538464,  0.0,  0.0,  0.0,  0.0,  0.0, 28.0
 11.0,687567.4230769231,7.846153846153846,1.3461538461538463,6.538461538461538,2.8461538461538463,  0.0,0.038461538461538464,  0.0,  0.0,0.038461538461538464,  0.0,  0.0,  0.0,  0.0,  0.0,2511708.076923077,21.884615384615383,2.4615384615384617,18.076923076923077,  6.5,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116089.961538462,48.34615384615385,5.423076923076923,41.26923076923077, 17.0,  0.0,0.07692307692307693,0.07692307692307693,0.038461538461538464,0.038461538461538464,  0.0,  0.0,  0.0,  0.0,  0.0,9315365.461538462,78.07692307692308,9.23076923076923,65.88461538461539,26.346153846153847,  0.0,0.11538461538461539,0.07692307692307693,0.038461538461538464,0.07692307692307693,  0.0,  0.0,  0.0,  0.0,  0.0, 28.0
 12.0,687563.0,9.846153846153847,1.5384615384615385,8.038461538461538,3.576923076923077,  0.0,0.11538461538461539,0.07692307692307693,  0.0,0.038461538461538464,  0.0,  0.0,  0.0,  0.0,  0.0,2511697.153846154,26.03846153846154,2.8076923076923075,21.576923076923077,9.423076923076923,  0.0,0.07692307692307693,0.07692307692307693,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116064.0, 58.5,  7.0, 49.0, 23.5,  0.0,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,  0.0,  0.0,  0.0,  0.0,  0.0,9315324.153846154,94.38461538461539,11.346153846153847,78.61538461538461, 36.5,  0.0,0.34615384615384615,0.23076923076923078,0.07692307692307693,0.11538461538461539,  0.0,  0.0,  0.0,  0.0,  0.0, 28.0
 13.0,687558.0,11.76923076923077,1.8461538461538463,9.461538461538462,4.923076923076923,  0.0,0.11538461538461539,  0.0,  0.0,0.038461538461538464,  0.0,  0.0,  0.0,  0.0,  0.0,2511684.4615384615,31.307692307692307,  3.5,25.03846153846154,12.692307692307692,  0.0,0.19230769230769232,0.11538461538461539,0.11538461538461539,0.038461538461538464,  0.0,  0.0,  0.0,  0.0,  0.0,6116035.615384615,67.53846153846153,8.538461538461538,59.26923076923077,31.03846153846154,  0.0,0.3076923076923077,0.15384615384615385,0.11538461538461539,0.15384615384615385,  0.0,  0.0,  0.0,  0.0,  0.0,9315278.076923076,110.61538461538461,13.884615384615385,93.76923076923077,48.65384615384615,  0.0,0.6153846153846154,0.2692307692307692,0.23076923076923078,0.23076923076923078,  0.0,  0.0,  0.0,  0.0,  0.0, 28.0
 14.0,687551.8846153846,14.23076923076923,2.1538461538461537,11.692307692307692,6.038461538461538,  0.0,0.15384615384615385,0.038461538461538464,  0.0,0.07692307692307693,  0.0,  0.0,  0.0,  0.0,  0.0,2511667.730769231,38.57692307692308,4.3076923076923075,30.03846153846154,16.346153846153847,  0.0,0.38461538461538464,0.19230769230769232,0.038461538461538464,0.15384615384615385,  0.0,  0.0,  0.0,  0.0,  0.0,6116001.384615385,80.57692307692308,10.692307692307692,69.26923076923077,40.07692307692308,  0.0,0.5769230769230769,0.2692307692307692,0.11538461538461539,0.15384615384615385,  0.0,  0.0,  0.0,  0.0,  0.0,9315221.0,133.3846153846154,17.153846153846153,111.0,62.46153846153846,  0.0,1.1153846153846154,  0.5,0.15384615384615385,0.38461538461538464,  0.0,  0.0,  0.0,  0.0,  0.0, 28.0
 15.0,687545.8076923077,15.884615384615385,2.4615384615384617,13.76923076923077,8.076923076923077,  0.0,0.15384615384615385,  0.0,  0.0,0.038461538461538464,  0.0,  0.0,  0.0,  0.0,  0.0,2511649.730769231,44.19230769230769,5.3076923076923075,36.76923076923077, 21.0,  0.0,0.5769230769230769,0.19230769230769232,0.11538461538461539,0.3076923076923077,  0.0,  0.0,  0.0,  0.0,  0.0,6115963.384615385,93.76923076923077, 13.0,80.1923076923077,51.65384615384615,  0.0,0.7692307692307693,0.19230769230769232,0.3076923076923077,0.3076923076923077,  0.0,  0.0,  0.0,  0.0,  0.0,9315158.923076924,153.84615384615384,20.76923076923077,130.73076923076923,80.73076923076923,  0.0,  1.5,0.38461538461538464,0.4230769230769231,0.6538461538461539,  0.0,  0.0,  0.0,  0.0,  0.0, 28.0
 16.0,687537.3461538461,19.73076923076923,2.923076923076923,15.73076923076923,10.26923076923077,  0.0,0.19230769230769232,0.038461538461538464,0.038461538461538464,0.038461538461538464,  0.0,  0.0,  0.0,  0.0,  0.0,2511630.6923076925,49.15384615384615,6.346153846153846,43.84615384615385,26.923076923076923,0.038461538461538464,0.6538461538461539,0.11538461538461539,0.15384615384615385,0.38461538461538464,  0.0,  0.0,  0.0,  0.0,  0.0,6115918.653846154,110.46153846153847,16.346153846153847,92.76923076923077,63.76923076923077,  0.0,1.1153846153846154,0.34615384615384615,0.11538461538461539,  0.5,  0.0,  0.0,  0.0,  0.0,  0.0,9315086.692307692,179.34615384615384,25.615384615384617,152.34615384615384,100.96153846153847,0.038461538461538464,1.9615384615384615,  0.5,0.3076923076923077,0.9230769230769231,  0.0,  0.0,  0.0,  0.0,  0.0, 28.0
 17.0,687528.6923076923,22.03846153846154,3.4615384615384617,18.807692307692307,12.961538461538462,0.038461538461538464,0.23076923076923078,0.07692307692307693,  0.0,0.07692307692307693,  0.0,  0.0,  0.0,  0.0,  0.0,2511606.0,57.61538461538461,7.423076923076923,52.03846153846154,33.88461538461539,0.038461538461538464,0.8076923076923077,0.15384615384615385,0.15384615384615385,0.46153846153846156,  0.0,  0.0,  0.0,  0.0,  0.0,6115868.961538462,125.8076923076923,18.653846153846153,109.34615384615384,79.1923076923077,0.038461538461538464,  1.5,0.4230769230769231,0.38461538461538464,0.6153846153846154,  0.0,  0.0,  0.0,  0.0,  0.0,9315003.653846154,205.46153846153845,29.53846153846154,180.19230769230768,126.03846153846153,0.11538461538461539,2.5384615384615383,0.6538461538461539,0.5384615384615384,1.1538461538461537,  0.0,  0.0,  0.0,  0.0,  0.0, 28.0
 18.0,687517.5,27.03846153846154,3.769230769230769,21.73076923076923,15.884615384615385,0.07692307692307693,0.2692307692307692,0.11538461538461539,  0.0,0.11538461538461539,  0.0,  0.0,  0.0,  0.0,  0.0,2511576.8846153845,69.6923076923077,8.923076923076923,58.96153846153846, 42.5,0.038461538461538464,0.9615384615384616,0.19230769230769232,0.11538461538461539,0.46153846153846156,  0.0,  0.0,  0.0,  0.0,  0.0,6115808.0,146.46153846153845,21.807692307692307,127.6923076923077, 98.0,0.038461538461538464,1.8076923076923077,0.38461538461538464,0.3076923076923077,0.7692307692307693,  0.0,  0.0,  0.0,  0.0,  0.0,9314902.384615384,243.19230769230768, 34.5,208.3846153846154,156.3846153846154,0.15384615384615385,3.0384615384615383,0.6923076923076923,0.4230769230769231,1.3461538461538463,  0.0,  0.0,  0.0,  0.0,  0.0, 28.0
 19.0,687503.8076923077, 33.0,4.615384615384615,25.346153846153847,19.153846153846153,0.07692307692307693,0.38461538461538464,0.11538461538461539,0.038461538461538464,0.15384615384615385,  0.0,  0.0,  0.0,  0.0,  0.0,2511545.5,79.92307692307692,10.26923076923077,69.57692307692308,51.69230769230769,0.038461538461538464,0.9615384615384616,  0.0,0.11538461538461539,0.46153846153846156,  0.0,  0.0,  0.0,  0.0,  0.0,6115738.230769231,170.73076923076923,25.73076923076923,149.30769230769232,117.88461538461539,0.11538461538461539,  2.0,0.3076923076923077,0.5384615384615384,0.9615384615384616,  0.0,  0.0,  0.0,  0.0,  0.0,9314787.538461538,283.65384615384613,40.61538461538461,244.23076923076923,188.73076923076923,0.23076923076923078,3.3461538461538463,0.4230769230769231,0.6923076923076923,1.5769230769230769,  0.0,  0.0,  0.0,  0.0,  0.0, 28.0
