  Day,Susceptible_DC,Incubating_DC,Infected_DC,Colonized_DC,Recovered_DC,Dead_DC,Hospitalized_DC,NewAdmissions_DC,EDVisits_DC,ICU_DC,Tests_DC,Quarantined_DC,numHousholdQuarantined_DC,InfectiousEventsPrevented_DC,confirmedcases_DC,Susceptible_VA,Incubating_VA,Infected_VA,Colonized_VA,Recovered_VA,Dead_VA,Hospitalized_VA,NewAdmissions_VA,EDVisits_VA,ICU_VA,Tests_VA,Quarantined_VA,numHousholdQuarantined_VA,InfectiousEventsPrevented_VA,confirmedcases_VA,Susceptible_MD,Incubating_MD,Infected_MD,Colonized_MD,Recovered_MD,Dead_MD,Hospitalized_MD,NewAdmissions_MD,EDVisits_MD,ICU_MD,Tests_MD,Quarantined_MD,numHousholdQuarantined_MD,InfectiousEventsPrevented_MD,confirmedcases_MD,Susceptible,Incubating,Infected,Colonized,Recovered, Dead,Hospitalized,NewAdmissions,EDVisits,  ICU,Tests,Quarantined,numHousholdQuarantined,InfectiousEventsPrevented,confirmedcases,count
  1.0,687585.6790123457,0.2839506172839506,  0.0,0.037037037037037035,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511755.5555555555,1.3333333333333333,  0.0,0.1111111111111111,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116198.691358024,3.049382716049383,  0.0,0.25925925925925924,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315539.925925925,4.666666666666667,  0.0,0.4074074074074074,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 83.0
  2.0,687585.1975308642,0.5925925925925926,0.012345679012345678,0.19753086419753085,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511754.2098765434,2.234567901234568,0.012345679012345678,0.5432098765432098,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116194.691358024,6.197530864197531,0.037037037037037035,1.0740740740740742,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315534.098765433,9.024691358024691,0.06172839506172839,1.8148148148148149,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 83.0
  3.0,687584.4074074074,1.1975308641975309,0.037037037037037035,0.35802469135802467,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511752.703703704,2.888888888888889,0.06172839506172839,1.308641975308642,0.037037037037037035,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116190.086419753,9.024691358024691,0.09876543209876543,2.753086419753086,0.037037037037037035,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315527.197530864,13.11111111111111,0.19753086419753085,4.419753086419753,0.07407407407407407,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 83.0
  4.0,687583.5432098765,1.7037037037037037,0.04938271604938271,0.6666666666666666,0.037037037037037035,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511749.5555555555,5.012345679012346,0.1111111111111111,2.2222222222222223,0.09876543209876543,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116184.432098766,11.851851851851851,0.2962962962962963,5.271604938271605,0.14814814814814814,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315517.530864198,18.567901234567902,0.4567901234567901,8.160493827160494,0.2839506172839506,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 83.0
  5.0,687582.7777777778,2.074074074074074,0.07407407407407407,0.9876543209876543,0.08641975308641975,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511746.4691358022,6.703703703703703,0.2345679012345679,3.3333333333333335,0.25925925925925924,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116177.0,15.444444444444445,0.5061728395061729,8.481481481481481,0.5679012345679012,  0.0,0.012345679012345678,0.012345679012345678,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315506.24691358,24.22222222222222,0.8148148148148148,12.802469135802468,0.9135802469135802,  0.0,0.012345679012345678,0.012345679012345678,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 83.0
  6.0,687581.3333333334,2.765432098765432,0.12345679012345678,1.5802469135802468,0.19753086419753085,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511742.7283950616,8.185185185185185,0.37037037037037035,5.135802469135802,0.5802469135802469,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116167.617283951,20.074074074074073,0.8518518518518519,12.234567901234568,1.2222222222222223,  0.0,0.012345679012345678,  0.0,0.012345679012345678,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315491.679012345,31.02469135802469,1.345679012345679,18.950617283950617,  2.0,  0.0,0.012345679012345678,  0.0,0.012345679012345678,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 83.0
  7.0,687579.8518518518,3.3703703703703702,0.18518518518518517,2.234567901234568,0.35802469135802467,  0.0,0.012345679012345678,0.012345679012345678,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511738.6666666665,9.851851851851851,0.6049382716049383,6.765432098765432,1.1111111111111112,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116155.518518519,25.962962962962962,1.2592592592592593,16.839506172839506,2.419753086419753,  0.0,0.012345679012345678,  0.0,0.024691358024691357,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315474.037037037,39.18518518518518,2.049382716049383,25.839506172839506,3.888888888888889,  0.0,0.024691358024691357,0.012345679012345678,0.024691358024691357,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 83.0
  8.0,687577.975308642,4.1234567901234565,0.25925925925925924,3.037037037037037,0.6049382716049383,  0.0,0.012345679012345678,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511733.24691358,12.222222222222221,0.8765432098765432,8.728395061728396,1.9259259259259258,  0.0,0.012345679012345678,0.012345679012345678,0.012345679012345678,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116141.419753087,32.382716049382715,1.9012345679012346,22.012345679012345,4.283950617283951,  0.0,0.037037037037037035,0.024691358024691357,0.024691358024691357,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315452.641975308,48.72839506172839,3.037037037037037,33.77777777777778,6.814814814814815,  0.0,0.06172839506172839,0.037037037037037035,0.037037037037037035,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 83.0
  9.0,687575.5061728396,5.45679012345679,0.3950617283950617,3.654320987654321,0.9876543209876543,  0.0,0.012345679012345678,  0.0,0.012345679012345678,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511726.135802469,15.703703703703704,1.0493827160493827,10.876543209876543,3.234567901234568,  0.0,0.012345679012345678,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116125.419753087,38.77777777777778,2.5555555555555554,28.506172839506174,6.7407407407407405,  0.0,0.04938271604938271,0.012345679012345678,0.012345679012345678,0.012345679012345678,  0.0,  0.0,  0.0,  0.0,  0.0,9315427.061728396,59.93827160493827,  4.0,43.03703703703704,10.962962962962964,  0.0,0.07407407407407407,0.012345679012345678,0.024691358024691357,0.012345679012345678,  0.0,  0.0,  0.0,  0.0,  0.0, 83.0
 10.0,687573.0493827161,6.160493827160494,0.5679012345679012,4.7407407407407405,1.4814814814814814,  0.0,0.012345679012345678,  0.0,0.012345679012345678,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511718.098765432,19.25925925925926,1.4567901234567902,13.481481481481481,4.703703703703703,  0.0,0.024691358024691357,0.012345679012345678,0.012345679012345678,0.012345679012345678,  0.0,  0.0,  0.0,  0.0,  0.0,6116105.888888889,46.77777777777778,3.506172839506173,35.358024691358025,10.45679012345679,0.012345679012345678,0.06172839506172839,0.024691358024691357,0.012345679012345678,0.037037037037037035,  0.0,  0.0,  0.0,  0.0,  0.0,9315397.037037037,72.19753086419753,5.530864197530864,53.58024691358025,16.641975308641975,0.012345679012345678,0.09876543209876543,0.037037037037037035,0.037037037037037035,0.04938271604938271,  0.0,  0.0,  0.0,  0.0,  0.0, 83.0
