  Day,Susceptible_DC,Incubating_DC,Infected_DC,Colonized_DC,Recovered_DC,Dead_DC,Hospitalized_DC,NewAdmissions_DC,EDVisits_DC,ICU_DC,Tests_DC,Quarantined_DC,numHousholdQuarantined_DC,InfectiousEventsPrevented_DC,confirmedcases_DC,Susceptible_VA,Incubating_VA,Infected_VA,Colonized_VA,Recovered_VA,Dead_VA,Hospitalized_VA,NewAdmissions_VA,EDVisits_VA,ICU_VA,Tests_VA,Quarantined_VA,numHousholdQuarantined_VA,InfectiousEventsPrevented_VA,confirmedcases_VA,Susceptible_MD,Incubating_MD,Infected_MD,Colonized_MD,Recovered_MD,Dead_MD,Hospitalized_MD,NewAdmissions_MD,EDVisits_MD,ICU_MD,Tests_MD,Quarantined_MD,numHousholdQuarantined_MD,InfectiousEventsPrevented_MD,confirmedcases_MD,Susceptible,Incubating,Infected,Colonized,Recovered, Dead,Hospitalized,NewAdmissions,EDVisits,  ICU,Tests,Quarantined,numHousholdQuarantined,InfectiousEventsPrevented,confirmedcases,count
  1.0,687585.5454545454,0.45454545454545453,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511755.8181818184,1.1363636363636365,  0.0,0.045454545454545456,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116198.545454546,  3.0,  0.0,0.45454545454545453,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315539.909090908,4.590909090909091,  0.0,  0.5,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 24.0
  2.0,687584.9545454546,0.9090909090909091,  0.0,0.13636363636363635,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511754.9545454546,1.5909090909090908,  0.0,0.45454545454545453,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116194.090909091,  6.5,0.045454545454545456,1.3636363636363635,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315534.0,  9.0,0.045454545454545456,1.9545454545454546,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 24.0
  3.0,687584.0454545454,1.6363636363636365,  0.0,0.3181818181818182,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511752.1363636362,3.727272727272727,  0.0,1.0909090909090908,0.045454545454545456,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116190.590909091,7.909090909090909,0.13636363636363635,3.3181818181818183,0.045454545454545456,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315526.772727273,13.272727272727273,0.13636363636363635,4.7272727272727275,0.09090909090909091,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 24.0
  4.0,687584.0,1.2727272727272727,  0.0,0.6818181818181818,0.045454545454545456,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511749.8181818184,4.7272727272727275,0.045454545454545456,2.3181818181818183,0.09090909090909091,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116184.590909091,11.272727272727273,0.3181818181818182,5.681818181818182,0.13636363636363635,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315518.409090908,17.272727272727273,0.36363636363636365,8.681818181818182,0.2727272727272727,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 24.0
  5.0,687582.8181818182,1.9090909090909092,0.045454545454545456,1.1363636363636365,0.09090909090909091,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511745.9545454546,6.681818181818182,0.09090909090909091,4.090909090909091,0.18181818181818182,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116177.363636363,15.454545454545455,0.4090909090909091,7.954545454545454,0.8181818181818182,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315506.136363637,24.045454545454547,0.5454545454545454,13.181818181818182,1.0909090909090908,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 24.0
  6.0,687581.2727272727,2.6363636363636362,0.09090909090909091,1.8181818181818181,0.18181818181818182,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511742.1363636362,8.318181818181818,0.4090909090909091,5.818181818181818,0.3181818181818182,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116168.636363637,19.454545454545453,0.6818181818181818,11.727272727272727,  1.5,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315492.045454545,30.40909090909091,1.1818181818181819,19.363636363636363,  2.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 24.0
  7.0,687579.8181818182,3.3181818181818183,0.22727272727272727,2.3181818181818183,0.3181818181818182,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511737.272727273,10.590909090909092,0.6818181818181818,7.7727272727272725,0.6818181818181818,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116158.454545454,24.181818181818183,  1.0,15.636363636363637,2.727272727272727,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315475.545454545,38.09090909090909,1.9090909090909092,25.727272727272727,3.727272727272727,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 24.0
  8.0,687578.1818181818,3.8181818181818183,0.45454545454545453,3.0454545454545454,  0.5,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511730.272727273,14.227272727272727,0.9090909090909091,9.909090909090908,1.6818181818181819,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116147.318181818,28.045454545454547,1.6818181818181819,20.363636363636363,4.590909090909091,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315455.772727273,46.09090909090909,3.0454545454545454,33.31818181818182,6.7727272727272725,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 24.0
  9.0,687575.7272727273,4.863636363636363,0.5454545454545454,3.8181818181818183,1.0454545454545454,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511723.9545454546,15.863636363636363,1.3636363636363635,12.818181818181818,  3.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116131.363636363,34.95454545454545,2.5454545454545454,26.045454545454547,7.090909090909091,  0.0,0.045454545454545456,0.045454545454545456,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315431.045454545,55.68181818181818,4.454545454545454,42.68181818181818,11.136363636363637,  0.0,0.045454545454545456,0.045454545454545456,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 24.0
 10.0,687573.4545454546,6.045454545454546,0.8181818181818182,4.181818181818182,  1.5,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511715.8181818184,19.09090909090909,1.9545454545454546,15.681818181818182,4.454545454545454,  0.0,  0.0,  0.0,0.045454545454545456,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116113.090909091,41.86363636363637,3.409090909090909,33.22727272727273,10.409090909090908,  0.0,0.18181818181818182,0.13636363636363635,0.045454545454545456,0.045454545454545456,  0.0,  0.0,  0.0,  0.0,  0.0,9315402.363636363, 67.0,6.181818181818182,53.09090909090909,16.363636363636363,  0.0,0.18181818181818182,0.13636363636363635,0.09090909090909091,0.045454545454545456,  0.0,  0.0,  0.0,  0.0,  0.0, 24.0
