  Day,Susceptible_DC,Incubating_DC,Infected_DC,Colonized_DC,Recovered_DC,Dead_DC,Hospitalized_DC,NewAdmissions_DC,EDVisits_DC,ICU_DC,Tests_DC,Quarantined_DC,numHousholdQuarantined_DC,InfectiousEventsPrevented_DC,confirmedcases_DC,Susceptible_VA,Incubating_VA,Infected_VA,Colonized_VA,Recovered_VA,Dead_VA,Hospitalized_VA,NewAdmissions_VA,EDVisits_VA,ICU_VA,Tests_VA,Quarantined_VA,numHousholdQuarantined_VA,InfectiousEventsPrevented_VA,confirmedcases_VA,Susceptible_MD,Incubating_MD,Infected_MD,Colonized_MD,Recovered_MD,Dead_MD,Hospitalized_MD,NewAdmissions_MD,EDVisits_MD,ICU_MD,Tests_MD,Quarantined_MD,numHousholdQuarantined_MD,InfectiousEventsPrevented_MD,confirmedcases_MD,Susceptible,Incubating,Infected,Colonized,Recovered, Dead,Hospitalized,NewAdmissions,EDVisits,  ICU,Tests,Quarantined,numHousholdQuarantined,InfectiousEventsPrevented,confirmedcases,count
  1.0,687585.6,0.3466666666666667,  0.0,0.05333333333333334,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511755.8533333335,1.0666666666666667,  0.0, 0.08,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116198.52,3.2266666666666666,  0.0,0.25333333333333335,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315539.973333333, 4.64,  0.0,0.38666666666666666,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 77.0
  2.0,687585.2,0.6133333333333333,  0.0,0.18666666666666668,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511754.2933333335,2.2266666666666666,0.013333333333333334,0.4666666666666667,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116194.68,5.8133333333333335,0.013333333333333334, 1.48,0.013333333333333334,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315534.173333334,8.653333333333334,0.02666666666666667,2.1333333333333333,0.013333333333333334,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 77.0
  3.0,687584.44,1.1066666666666667,  0.0,0.4533333333333333,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511752.6266666665, 3.24, 0.04,1.0666666666666667,0.02666666666666667,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116189.893333334,8.933333333333334,0.09333333333333334,3.0533333333333332,0.02666666666666667,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315526.96,13.28,0.13333333333333333,4.573333333333333,0.05333333333333334,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 77.0
  4.0,687583.6666666666,1.5466666666666666,  0.0,0.7466666666666667, 0.04,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511750.3066666666,4.573333333333333,0.14666666666666667,1.9066666666666667,0.06666666666666667,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116183.76,11.88,0.21333333333333335, 5.96,0.18666666666666668,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315517.733333332, 18.0, 0.36,8.613333333333333,0.29333333333333333,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 77.0
  5.0,687582.6933333334,2.026666666666667,0.05333333333333334,1.1466666666666667, 0.08,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511747.2266666666, 6.12, 0.24,3.1466666666666665,0.26666666666666666,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6116175.893333334,16.093333333333334,  0.4,9.013333333333334,  0.6,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315505.813333333,24.24,0.6933333333333334,13.306666666666667,0.9466666666666667,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 77.0
  6.0,687581.5066666667,2.506666666666667, 0.12,1.6666666666666667,  0.2,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511743.44,7.786666666666667,0.38666666666666666,4.8533333333333335,0.5333333333333333,  0.0,0.013333333333333334,0.013333333333333334,  0.0,0.013333333333333334,  0.0,  0.0,  0.0,  0.0,  0.0,6116165.946666666,20.733333333333334, 0.92,13.04, 1.36,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315490.893333333,31.026666666666667,1.4266666666666667,19.56,2.0933333333333333,  0.0,0.013333333333333334,0.013333333333333334,  0.0,0.013333333333333334,  0.0,  0.0,  0.0,  0.0,  0.0, 77.0
  7.0,687579.9733333334,3.1866666666666665, 0.24, 2.16, 0.44,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511739.3733333335,9.626666666666667,0.5733333333333334, 6.44,0.9866666666666667,  0.0,0.013333333333333334,  0.0,  0.0,0.013333333333333334,  0.0,  0.0,  0.0,  0.0,  0.0,6116154.52,25.586666666666666,1.5333333333333334,17.266666666666666,3.0933333333333333,  0.0,0.013333333333333334,0.013333333333333334,0.02666666666666667,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315473.866666667, 38.4,2.3466666666666667,25.866666666666667, 4.52,  0.0,0.02666666666666667,0.013333333333333334,0.02666666666666667,0.013333333333333334,  0.0,  0.0,  0.0,  0.0,  0.0, 77.0
  8.0,687577.9466666667,4.173333333333333,0.3333333333333333, 2.84,0.7066666666666667,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511733.56,12.706666666666667,0.7333333333333333,  8.4,  1.6,  0.0,0.013333333333333334,  0.0,0.013333333333333334,0.013333333333333334,  0.0,  0.0,  0.0,  0.0,  0.0,6116142.133333334,30.333333333333332,2.1066666666666665,22.24,5.1866666666666665,  0.0,0.02666666666666667,0.013333333333333334,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9315453.64,47.21333333333333,3.1733333333333333,33.48,7.493333333333333,  0.0, 0.04,0.013333333333333334,0.013333333333333334,0.013333333333333334,  0.0,  0.0,  0.0,  0.0,  0.0, 77.0
  9.0,687575.3333333334,5.506666666666667, 0.44,3.5866666666666664,1.1333333333333333,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511726.1466666665,16.266666666666666,1.1066666666666667,10.746666666666666,2.7333333333333334,  0.0,0.013333333333333334,  0.0,0.02666666666666667,0.013333333333333334,  0.0,  0.0,  0.0,  0.0,  0.0,6116127.533333333,35.56, 2.88,27.76,8.266666666666667,  0.0, 0.08,0.05333333333333334, 0.04,0.013333333333333334,  0.0,  0.0,  0.0,  0.0,  0.0,9315429.013333334,57.333333333333336,4.426666666666667,42.093333333333334,12.133333333333333,  0.0,0.09333333333333334,0.05333333333333334,0.06666666666666667,0.02666666666666667,  0.0,  0.0,  0.0,  0.0,  0.0, 77.0
 10.0,687572.5466666666,  6.6,0.5866666666666667, 4.68,1.5866666666666667,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2511718.6,19.053333333333335,1.6533333333333333, 13.2,4.493333333333333,  0.0,0.013333333333333334,  0.0,0.02666666666666667,0.013333333333333334,  0.0,  0.0,  0.0,  0.0,  0.0,6116109.04,42.85333333333333, 3.88,33.986666666666665,12.24,  0.0, 0.12, 0.04,0.05333333333333334,0.013333333333333334,  0.0,  0.0,  0.0,  0.0,  0.0,9315400.186666667,68.50666666666666, 6.12,51.86666666666667,18.32,  0.0,0.13333333333333333, 0.04, 0.08,0.02666666666666667,  0.0,  0.0,  0.0,  0.0,  0.0, 77.0
