,forecast_date,target,target_end_date,location,location_name,type,quantile,value
0,2020-06-04,1 day ahead cum death,2020-06-05,11,District of Columbia,point,NA,571.6451612903226
1,2020-06-04,1 day ahead cum death,2020-06-05,11,District of Columbia,quantile,0.01,421.0
2,2020-06-04,1 day ahead cum death,2020-06-05,11,District of Columbia,quantile,0.025,434.5
3,2020-06-04,1 day ahead cum death,2020-06-05,11,District of Columbia,quantile,0.05,459.5
4,2020-06-04,1 day ahead cum death,2020-06-05,11,District of Columbia,quantile,0.1,490.0
5,2020-06-04,1 day ahead cum death,2020-06-05,11,District of Columbia,quantile,0.15,492.0
6,2020-06-04,1 day ahead cum death,2020-06-05,11,District of Columbia,quantile,0.2,513.0
7,2020-06-04,1 day ahead cum death,2020-06-05,11,District of Columbia,quantile,0.25,514.5
8,2020-06-04,1 day ahead cum death,2020-06-05,11,District of Columbia,quantile,0.3,522.0
9,2020-06-04,1 day ahead cum death,2020-06-05,11,District of Columbia,quantile,0.35,541.0
10,2020-06-04,1 day ahead cum death,2020-06-05,11,District of Columbia,quantile,0.4,547.0
11,2020-06-04,1 day ahead cum death,2020-06-05,11,District of Columbia,quantile,0.45,561.0
12,2020-06-04,1 day ahead cum death,2020-06-05,11,District of Columbia,quantile,0.5,570.0
13,2020-06-04,1 day ahead cum death,2020-06-05,11,District of Columbia,quantile,0.55,571.0
14,2020-06-04,1 day ahead cum death,2020-06-05,11,District of Columbia,quantile,0.6,576.0
15,2020-06-04,1 day ahead cum death,2020-06-05,11,District of Columbia,quantile,0.65,581.5
16,2020-06-04,1 day ahead cum death,2020-06-05,11,District of Columbia,quantile,0.7,586.0
17,2020-06-04,1 day ahead cum death,2020-06-05,11,District of Columbia,quantile,0.75,610.0
18,2020-06-04,1 day ahead cum death,2020-06-05,11,District of Columbia,quantile,0.8,642.0
19,2020-06-04,1 day ahead cum death,2020-06-05,11,District of Columbia,quantile,0.85,656.5
20,2020-06-04,1 day ahead cum death,2020-06-05,11,District of Columbia,quantile,0.9,674.0
21,2020-06-04,1 day ahead cum death,2020-06-05,11,District of Columbia,quantile,0.95,702.5
22,2020-06-04,1 day ahead cum death,2020-06-05,11,District of Columbia,quantile,0.975,729.75
23,2020-06-04,1 day ahead cum death,2020-06-05,11,District of Columbia,quantile,0.99,777.8999999999999
0,2020-06-04,1 day ahead cum death,2020-06-05,24,Maryland,point,NA,3020.967741935484
1,2020-06-04,1 day ahead cum death,2020-06-05,24,Maryland,quantile,0.01,2357.5
2,2020-06-04,1 day ahead cum death,2020-06-05,24,Maryland,quantile,0.025,2359.75
3,2020-06-04,1 day ahead cum death,2020-06-05,24,Maryland,quantile,0.05,2390.0
4,2020-06-04,1 day ahead cum death,2020-06-05,24,Maryland,quantile,0.1,2548.0
5,2020-06-04,1 day ahead cum death,2020-06-05,24,Maryland,quantile,0.15,2643.5
6,2020-06-04,1 day ahead cum death,2020-06-05,24,Maryland,quantile,0.2,2716.0
7,2020-06-04,1 day ahead cum death,2020-06-05,24,Maryland,quantile,0.25,2744.5
8,2020-06-04,1 day ahead cum death,2020-06-05,24,Maryland,quantile,0.3,2751.0
9,2020-06-04,1 day ahead cum death,2020-06-05,24,Maryland,quantile,0.35,2791.0
10,2020-06-04,1 day ahead cum death,2020-06-05,24,Maryland,quantile,0.4,2844.0
11,2020-06-04,1 day ahead cum death,2020-06-05,24,Maryland,quantile,0.45,2922.5
12,2020-06-04,1 day ahead cum death,2020-06-05,24,Maryland,quantile,0.5,3011.0
13,2020-06-04,1 day ahead cum death,2020-06-05,24,Maryland,quantile,0.55,3082.5
14,2020-06-04,1 day ahead cum death,2020-06-05,24,Maryland,quantile,0.6,3130.0
15,2020-06-04,1 day ahead cum death,2020-06-05,24,Maryland,quantile,0.65,3185.5
16,2020-06-04,1 day ahead cum death,2020-06-05,24,Maryland,quantile,0.7,3210.0
17,2020-06-04,1 day ahead cum death,2020-06-05,24,Maryland,quantile,0.75,3240.0
18,2020-06-04,1 day ahead cum death,2020-06-05,24,Maryland,quantile,0.8,3260.0
19,2020-06-04,1 day ahead cum death,2020-06-05,24,Maryland,quantile,0.85,3380.0
20,2020-06-04,1 day ahead cum death,2020-06-05,24,Maryland,quantile,0.9,3423.0
21,2020-06-04,1 day ahead cum death,2020-06-05,24,Maryland,quantile,0.95,3859.5
22,2020-06-04,1 day ahead cum death,2020-06-05,24,Maryland,quantile,0.975,3908.0
23,2020-06-04,1 day ahead cum death,2020-06-05,24,Maryland,quantile,0.99,3917.0
0,2020-06-04,2 day ahead cum death,2020-06-06,11,District of Columbia,point,NA,579.5806451612904
1,2020-06-04,2 day ahead cum death,2020-06-06,11,District of Columbia,quantile,0.01,425.69999999999993
2,2020-06-04,2 day ahead cum death,2020-06-06,11,District of Columbia,quantile,0.025,438.75
3,2020-06-04,2 day ahead cum death,2020-06-06,11,District of Columbia,quantile,0.05,464.5
4,2020-06-04,2 day ahead cum death,2020-06-06,11,District of Columbia,quantile,0.1,495.0
5,2020-06-04,2 day ahead cum death,2020-06-06,11,District of Columbia,quantile,0.15,500.0
6,2020-06-04,2 day ahead cum death,2020-06-06,11,District of Columbia,quantile,0.2,516.0
7,2020-06-04,2 day ahead cum death,2020-06-06,11,District of Columbia,quantile,0.25,523.0
8,2020-06-04,2 day ahead cum death,2020-06-06,11,District of Columbia,quantile,0.3,533.0
9,2020-06-04,2 day ahead cum death,2020-06-06,11,District of Columbia,quantile,0.35,549.5
10,2020-06-04,2 day ahead cum death,2020-06-06,11,District of Columbia,quantile,0.4,556.0
