  Day,Susceptible_DC,Incubating_DC,Infected_DC,Colonized_DC,Recovered_DC,Dead_DC,Hospitalized_DC,NewAdmissions_DC,EDVisits_DC,ICU_DC,Tests_DC,Quarantined_DC,numHousholdQuarantined_DC,InfectiousEventsPrevented_DC,confirmedcases_DC,Susceptible_VA,Incubating_VA,Infected_VA,Colonized_VA,Recovered_VA,Dead_VA,Hospitalized_VA,NewAdmissions_VA,EDVisits_VA,ICU_VA,Tests_VA,Quarantined_VA,numHousholdQuarantined_VA,InfectiousEventsPrevented_VA,confirmedcases_VA,Susceptible_MD,Incubating_MD,Infected_MD,Colonized_MD,Recovered_MD,Dead_MD,Hospitalized_MD,NewAdmissions_MD,EDVisits_MD,ICU_MD,Tests_MD,Quarantined_MD,numHousholdQuarantined_MD,InfectiousEventsPrevented_MD,confirmedcases_MD,Susceptible,Incubating,Infected,Colonized,Recovered, Dead,Hospitalized,NewAdmissions,EDVisits,  ICU,Tests,Quarantined,numHousholdQuarantined,InfectiousEventsPrevented,confirmedcases
    1,687586,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511753,    3,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116202,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315541,    3,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    2,687586,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511752,    2,    0,    3,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116198,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315536,    6,    0,    3,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    3,687585,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511747,    4,    0,    6,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116196,    6,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315528,   11,    0,    6,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    4,687585,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511744,    5,    0,    8,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116190,   11,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315519,   17,    0,    9,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    5,687584,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511742,    4,    1,    7,    3,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116185,   11,    0,    6,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315511,   17,    1,   13,    3,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    6,687583,    2,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511733,   10,    1,    9,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116181,   11,    0,   10,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315497,   23,    1,   20,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    7,687581,    3,    0,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511727,   13,    2,   10,    5,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116166,   19,    0,   16,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315474,   35,    2,   28,    6,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    8,687579,    3,    1,    3,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511713,   23,    2,   12,    7,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116149,   28,    0,   21,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315441,   54,    3,   36,   11,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    9,687576,    6,    1,    3,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511700,   31,    4,   14,    8,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116120,   49,    0,   29,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315396,   86,    5,   46,   12,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
   10,687575,    4,    1,    6,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511687,   32,    5,   23,   10,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116092,   59,    2,   44,    5,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315354,   95,    8,   73,   15,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
   11,687574,    4,    1,    5,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511669,   42,    6,   27,   13,    0,    0,    0,    1,    0,    0,    0,    0,    0,    0,6116049,   75,    3,   61,   14,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315292,  121,   10,   93,   29,    0,    0,    0,    1,    0,    0,    0,    0,    0,    0
   12,687566,   10,    1,    7,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511643,   45,    8,   47,   14,    0,    0,    0,    1,    0,    0,    0,    0,    0,    0,6116008,   88,    6,   84,   16,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315217,  143,   15,  138,   32,    0,    0,    0,    1,    0,    0,    0,    0,    0,    0
   13,687557,   17,    1,    7,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511604,   69,    8,   55,   21,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6115953,  108,   11,  106,   24,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315114,  194,   20,  168,   49,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
   14,687548,   19,    2,   13,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511550,   97,   13,   70,   27,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6115887,  138,   12,  129,   36,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9314985,  254,   27,  212,   67,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
   15,687531,   30,    2,   18,    5,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511493,  121,   15,   90,   38,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6115788,  180,   17,  161,   56,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9314812,  331,   34,  269,   99,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
   16,687517,   34,    4,   24,    7,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511447,  113,   19,  128,   50,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6115665,  249,   25,  176,   87,    0,    0,    0,    1,    0,    0,    0,    0,    0,    0,9314629,  396,   48,  328,  144,    0,    0,    0,    1,    0,    0,    0,    0,    0,    0
   17,687493,   46,    5,   33,    9,    0,    1,    1,    0,    0,    0,    0,    0,    0,    0,2511372,  142,   22,  158,   63,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6115519,  299,   34,  242,  108,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9314384,  487,   61,  433,  180,    0,    1,    1,    0,    0,    0,    0,    0,    0,    0
   18,687460,   55,    7,   53,   11,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,2511275,  185,   29,  186,   82,    0,    1,    1,    1,    0,    0,    0,    0,    0,    0,6115357,  369,   45,  292,  139,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9314092,  609,   81,  531,  232,    0,    2,    1,    1,    0,    0,    0,    0,    0,    0
   19,687412,   81,   10,   67,   16,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,2511149,  248,   40,  219,  101,    0,    3,    2,    1,    0,    0,    0,    0,    0,    0,6115158,  426,   59,  388,  171,    0,    0,    0,    1,    0,    0,    0,    0,    0,    0,9313719,  755,  109,  674,  288,    0,    4,    2,    2,    0,    0,    0,    0,    0,    0
   20,687358,  103,   14,   86,   25,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,2511031,  294,   52,  239,  141,    0,    3,    0,    1,    0,    0,    0,    0,    0,    0,6114880,  542,   78,  479,  223,    0,    0,    0,    1,    0,    0,    0,    0,    0,    0,9313269,  939,  144,  804,  389,    0,    4,    0,    2,    0,    0,    0,    0,    0,    0
   21,687293,  131,   20,  110,   32,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,2510859,  349,   59,  314,  176,    0,    4,    1,    0,    1,    1,    0,    0,    0,    1,6114545,  676,   96,  603,  282,    0,    2,    2,    0,    1,    2,    0,    0,    0,    2,9312697, 1156,  175, 1027,  490,    0,    7,    3,    0,    2,    3,    0,    0,    0,    3
   22,687222,  148,   27,  143,   46,    0,    2,    1,    0,    0,    1,    0,    0,    0,    1,2510650,  424,   71,  393,  219,    0,    5,    1,    1,    1,    3,    0,    0,    0,    2,6114129,  859,  119,  726,  369,    0,    2,    0,    0,    1,    2,    0,    0,    0,    2,9312001, 1431,  217, 1262,  634,    0,    9,    2,    1,    2,    6,    0,    0,    0,    5
   23,687130,  175,   35,  187,   59,    0,    2,    0,    0,    0,    1,    0,    0,    0,    1,2510430,  486,   85,  488,  267,    1,    7,    3,    0,    4,    6,    0,    0,    0,    5,6113636, 1031,  155,  919,  461,    0,    2,    0,    2,    1,    4,    0,    0,    0,    2,9311196, 1692,  275, 1594,  787,    1,   11,    3,    2,    5,   11,    0,    0,    0,    8
   24,687019,  226,   44,  216,   81,    0,    3,    1,    0,    1,    2,    0,    0,    0,    2,2510121,  618,  103,  573,  341,    1,    8,    1,    2,    4,    9,    0,    0,    0,    6,6113015, 1246,  190, 1172,  579,    0,    6,    4,    0,    2,    8,    0,    0,    0,    6,9310155, 2090,  337, 1961, 1001,    1,   17,    6,    2,    7,   19,    0,    0,    0,   14
   25,686872,  286,   50,  260,  118,    0,    3,    0,    0,    1,    2,    0,    0,    0,    2,2509703,  793,  124,  735,  401,    1,   10,    2,    0,    5,   11,    0,    0,    0,    8,6112249, 1552,  265, 1415,  721,    0,    8,    2,    1,    2,   11,    0,    0,    0,    8,9308824, 2631,  439, 2410, 1240,    1,   21,    4,    1,    8,   24,    0,    0,    0,   18
   26,686711,  354,   63,  296,  162,    0,    3,    0,    1,    1,    3,    0,    0,    0,    2,2509209,  984,  152,  915,  495,    2,   10,    1,    1,    5,   13,    0,    0,    0,    9,6111382, 1832,  320, 1743,  925,    0,   13,    5,    4,    5,   20,    0,    0,    0,   13,9307302, 3170,  535, 2954, 1582,    2,   26,    6,    6,   11,   36,    0,    0,    0,   24
   27,686521,  419,   73,  359,  213,    1,    4,    2,    1,    1,    6,    0,    0,    0,    4,2508690, 1124,  188, 1116,  637,    2,    9,    0,    0,    5,   13,    0,    0,    0,    9,6110310, 2221,  386, 2130, 1155,    0,   19,    6,    2,    8,   28,    0,    0,    0,   19,9305521, 3764,  647, 3605, 2005,    3,   32,    8,    3,   14,   47,    0,    0,    0,   32
   28,686301,  468,   85,  467,  264,    1,    5,    1,    1,    2,    8,    0,    0,    0,    5,2508057, 1322,  236, 1331,  808,    3,   10,    2,    1,    6,   16,    0,    0,    0,   11,6109116, 2579,  476, 2586, 1445,    0,   27,    8,    4,   12,   40,    0,    0,    0,   27,9303474, 4369,  797, 4384, 2517,    4,   42,   11,    6,   20,   64,    0,    0,    0,   43
   29,686055,  531,   95,  578,  325,    2,    5,    1,    0,    2,    9,    0,    0,    0,    6,2507416, 1462,  288, 1602,  986,    3,   15,    5,    2,    8,   23,    0,    0,    0,   16,6107725, 2986,  577, 3087, 1826,    1,   33,    7,    6,   15,   53,    0,    0,    0,   34,9301196, 4979,  960, 5267, 3137,    6,   53,   13,    8,   25,   85,    0,    0,    0,   56
   30,685754,  625,  115,  692,  398,    2,    7,    2,    0,    4,   11,    0,    0,    0,    8,2506670, 1662,  349, 1873, 1200,    3,   18,    3,    4,    9,   30,    0,    0,    0,   19,6106175, 3385,  688, 3709, 2244,    1,   42,   11,    4,   18,   68,    0,    0,    0,   45,9298599, 5672, 1152, 6274, 3842,    6,   67,   16,    8,   31,  109,    0,    0,    0,   72
   31,685399,  747,  142,  805,  491,    2,   10,    3,    0,    5,   14,    0,    0,    0,   11,2505868, 1805,  414, 2195, 1472,    3,   22,    4,    6,   11,   40,    0,    0,    0,   23,6104414, 3811,  833, 4395, 2748,    1,   56,   14,   12,   25,   94,    0,    0,    0,   59,9295681, 6363, 1389, 7395, 4711,    6,   88,   21,   18,   41,  148,    0,    0,    0,   93
   32,685002,  861,  178,  912,  631,    2,   16,    6,    1,    9,   21,    0,    0,    0,   17,2504946, 2062,  486, 2454, 1806,    3,   29,    8,    9,   16,   57,    0,    0,    0,   31,6102378, 4385,  977, 5109, 3352,    1,   63,   11,   10,   28,  115,    0,    0,    0,   70,9292326, 7308, 1641, 8475, 5789,    6,  108,   25,   20,   53,  193,    0,    0,    0,  118
   33,684553,  973,  216, 1082,  759,    3,   15,    0,    3,    9,   24,    0,    0,    0,   17,2503928, 2264,  588, 2797, 2177,    3,   33,    5,    1,   18,   63,    0,    0,    0,   36,6100221, 4891, 1183, 5801, 4103,    3,   80,   20,   11,   41,  146,    0,    0,    0,   90,9288702, 8128, 1987, 9680, 7039,    9,  128,   25,   15,   68,  233,    0,    0,    0,  143
   34,684094, 1062,  270, 1250,  907,    3,   24,    9,    2,   13,   35,    0,    0,    0,   26,2502838, 2480,  680, 3129, 2626,    4,   41,    9,    6,   20,   78,    0,    0,    0,   45,6097815, 5407, 1384, 6621, 4971,    4,   97,   19,   10,   51,  175,    0,    0,    0,  109,9284747, 8949, 2334,11000, 8504,   11,  162,   37,   18,   84,  288,    0,    0,    0,  180
   35,683600, 1146,  318, 1424, 1094,    4,   26,    4,    1,   17,   40,    0,    0,    0,   30,2501709, 2653,  774, 3499, 3116,    6,   49,   10,    6,   26,   94,    0,    0,    0,   55,6095264, 5848, 1617, 7480, 5989,    4,  119,   26,   17,   62,  218,    0,    0,    0,  135,9280573, 9647, 2709,12403,10199,   14,  194,   40,   24,  105,  352,    0,    0,    0,  220
   36,683114, 1194,  378, 1590, 1305,    5,   25,    0,    2,   16,   42,    0,    0,    0,   30,2500462, 2870,  877, 3872, 3669,    7,   67,   19,    6,   35,  119,    0,    0,    0,   74,6092481, 6334, 1875, 8329, 7178,    5,  159,   43,   16,   78,  277,    0,    0,    0,  178,9276057,10398, 3130,13791,12152,   17,  251,   62,   24,  129,  438,    0,    0,    0,  282
   37,682608, 1243,  441, 1727, 1562,    5,   36,   11,    5,   20,   58,    0,    0,    0,   41,2499158, 3083,  956, 4223, 4330,    7,   82,   17,    9,   37,  145,    0,    0,    0,   91,6089656, 6673, 2142, 9172, 8553,    6,  200,   46,   13,   99,  336,    0,    0,    0,  224,9271422,10999, 3539,15122,14445,   18,  318,   74,   27,  156,  539,    0,    0,    0,  356
   38,682076, 1287,  504, 1883, 1831,    5,   41,    5,    4,   22,   67,    0,    0,    0,   46,2497812, 3279, 1069, 4538, 5051,    8,  108,   27,   10,   46,  182,    0,    0,    0,  118,6086736, 6941, 2402,10084,10031,    8,  235,   43,   22,  119,  401,    0,    0,    0,  267,9266624,11507, 3975,16505,16913,   21,  384,   75,   36,  187,  650,    0,    0,    0,  431
   39,681549, 1316,  582, 2001, 2133,    5,   48,   10,    7,   23,   84,    0,    0,    0,   56,2496468, 3351, 1195, 4939, 5795,    9,  125,   21,   11,   57,  214,    0,    0,    0,  139,6083718, 7233, 2737,10803,11700,   11,  281,   55,   22,  135,  478,    0,    0,    0,  322,9261735,11900, 4514,17743,19628,   25,  454,   86,   40,  215,  776,    0,    0,    0,  517
   40,680963, 1412,  647, 2079, 2479,    6,   57,   11,   11,   26,  106,    0,    0,    0,   67,2495051, 3464, 1313, 5290, 6628,   11,  153,   30,   18,   68,  262,    0,    0,    0,  169,6080695, 7428, 3028,11556,13481,   14,  332,   59,   29,  154,  566,    0,    0,    0,  381,9256709,12304, 4988,18925,22588,   31,  542,  100,   58,  248,  934,    0,    0,    0,  617
   41,680406, 1399,  690, 2266, 2818,    7,   82,   27,    8,   38,  141,    0,    0,    0,   94,2493746, 3379, 1464, 5657, 7498,   13,  176,   32,   11,   70,  305,    0,    0,    0,  201,6077724, 7473, 3349,12157,15478,   21,  379,   62,   27,  171,  655,    0,    0,    0,  443,9251876,12251, 5503,20080,25794,   41,  637,  121,   46,  279, 1101,    0,    0,    0,  738
